大 越 史 記 續 編 序	Đại Việt sử kí tục biên tự	
内 修 外 攘 以 安 天 下	Nội tu ngoại nhương dĩ an thiên hạ	
寡 人 夙 夜 思 有 以 報 其 功	Quả nhân túc dạ tư hữu dĩ báo kì công	
然 德 甚 菲 薄 愧 不 如 馬 鄧 宣 仁 之 賢 以 盡 優 待 大 臣 之 道	Nhiên đức thậm phỉ bạc quý bất như Mã Đặng Tuyên Nhân chi hiền dĩ tận ưu đãi đại thần chi đạo	
今 將	Kim tương	
命 朝 士 會 議 時 宜 已 為 一 代 之 令 典 令 之 無 弊	mệnh triều sĩ hội nghị thời nghi dĩ vi nhất đại chi lệnh điển lệnh chi vô tệ	
卿 等 合 體 此 意 以 盡 克 难 之 道 以 全 終 始 之 節 無 使 臯 𧃰 稷 契 伊 傅 周 召 專 美 於 前 代 顧 不 偉 哉	Khanh đẳng hợp thể thử ý dĩ tận khắc nan chi đạo dĩ toàn chung thuỷ chi tiết vô sử Cao Quỳ Tắc Tiết Y Phó Chu Thiệu chuyên mĩ ư tiền đại cố bất vĩ tai	
貶 化 州 司 馬 黎 定 二 司	Biếm Hoá châu Tư mã Lê Định nhị tư	
時 何 栗 劾 定 縱 降 占 城 人 及 強 娶 人 家 女 為 妾 故 貶 之	Thời Hà Lật hặc Định túng giáng Chiêm thành nhân cập cưỡng thú nhân gia nữ vi thiếp cố biếm chi	
一 日 退 朝 太 尉 黎 可 見 雲 集 堂 前 獵 綱 撤 去 曰 無 令 上 見 之 以 啓 她 日 之 荒 禽 也	Nhất nhật thoái triều Thái uý Lê Khả kiến Vân Tập đường tiền liệp cương triệt khứ viết Vô lệnh thượng kiến chi dĩ khải tha nhật chi hoăng cầm dã	
以 中 丞 何 栗 為 西 道 參 知 簿 籍 官 簿 黎 霖 國 子 教 授 范 維 寧 並 為 監 察 御 史	Dĩ Trung thừa Hà Lật vi Tây đạo tham tri bạ tịch Đài quan bạ Lê Lâm Quốc tử giáo thụ Phạm Duy Ninh tịnh vi Giám sát ngự sử	
以 國 子 監 直 講 尹 子 平 為 安 撫 副	Dĩ Quốc tử giám trực giảng Doãn Tử BÌnh vi An phủ phó	
使 内 密 院 同 知 黎 念 為 副 使 殿 中 侍 御 史 程 馭 为 安 撫 副 使 御 前 學 士 鄧 允 美 監 生 阮 剛 中 阮 自 得 高 文 齒 為 各 路 轉 運 副 使	sứ Nội mật viện đồng tri Lê Niệm vi Phó sứ Điện trung thị ngự sử Trình NGự vi An phủ phó sứ Ngự tiền học sĩ Đặng Doãn Mĩ Giám sinh Nguyễn Cương Trung Nguyễn Tự Đắc Cao Văn Xỉ vi các lộ chuyển vận phó sứ	
監 生 除 縣 官 自 剛 中 等 始	Giám sinh trừ huyện quan tự cương trung đẳng thuỷ	
以 中 北 衛 同 知 黎 棹 為 葵 州 經 畧 使 黎 其 爲 北 江 衞 同 知	Dĩ Trung Bắc vệ đồng tri Lê Trạo vi Quỳ châu kinh lược sứ Lê KÌ vi Bắc Giang vệ đồng tri	
以 國 威 為 中 路 安 撫 明 英 宗 憤 北 虜 也 先 入 㓂 也 先 虜 校 咱 其 臣 王 振 議 尋 親 征	Dĩ Quốc Oai vi Trung lộ an phủ Minh Anh Tông phẫn Bắc lỗ Dã Tiên nhập khấu Dã Tiên Lỗ hiệu Thính kì thần Vương Chấn nghị tầm thân chinh	
於 七 月 十 七 日 駕 行 至 大 同 𤤻 師	Ư thất nguyệt thập thất nhật giá hành chí Đại Đồng ban sư	
八 月 十 六 日 駕 至 土 木 地 名 為 北 虜 所 獲	Bát nguyệt thập lục nhật giá chí Thổ Mộc Địa danh vị Bắc lỗ sở hoạch	
十 七 日 英 宗 北 狩 報 至 京 師 大 駭	Thập thất nhật Anh Tông Bắc thú báo chí kinh sư đại hãi	
十 八 日 皇 太 后 命 英 宗	Thập bát nhật Hoàng thái hậu mệnh Anh Tông	
弟 郕 王 祁 鈺 魚 欲 切 堅 金 也 權 總 萬 機 二 十 日 皇 太 后 𬢱 立 皇 長 子 見 濡 為 皇 太 子 時 年 二 歲 仍 命 郕 王 為 輔	đệ Thành Vương Kì Ngục Ngư dục thiết kiên kim dã Quyền tổng vạn cơ Nhị thập nhật Hoàng thái hậu nghị lập hoàng trưởng tử Kiến Nhu vi Hoàng thái tử thời niên nhị tuế nhưng mệnh Thành Vương vi phụ	
九 月 初 六 日 明 郕 王 即 位 遙 尊 英 宗 為 太 上 皇	Cửu nguyệt sơ lục nhật Minh Thành Vương tức vị dao tôn Anh Tông vi Thái thượng hoàng	
改 明 年 為 景 泰 元 年	Cải minh niên vi Cảnh Thái nguyên niên	
冬 十 月 令 各 路 諸 色 役 出 熟 米 以 需 軍 用 尋 罷 之	Đông thập nguyệt lệnh các lộ chư sắc dịch xuất thục mễ dĩ nhu quân dụng tầm bãi chi	
以 𬢱 欲 伐 占 城 而 未 果 故 也	Dĩ nghị dục phạt Chiêm Thành nhi vị quả cố dã	
以 下 國 威 衛 少 尉 黎 蘭 為 新 平 順 化 府 少 尉 踰 年 卒	Dĩ hạ Quốc Oai vệ thiếu uý Lê Lan vi Tân Bình Thuận Hoá phủ Thiếu uý du niên tốt	
京 城 生 两 頭 人 恠 置 死	Kinh thành sinh lưỡng đầu nhân quái trí tử	
十 一 月 命 各 路 縣 修 簿 籍	Thập nhất nguyệt mệnh các lộ huyện tu bạ tịch	
充 監 生 魯 純 范 公 粘 等 三 十 人 為 各 道 属 吏 監 生 充 属 吏 自 此 始	Sung Giám Sinh Lỗ Thuần Phạm Công Niêm đẳng tam thập nhân vi các đạo thuộc lại Giám sinh sung thuộc lại tự thử thuỷ	
大 都 督 黎 犬 男 黎 貫 之 夜 間 聚 眾 敺 殺 人 於 都 市	Đại đô đốc Lê Khuyển nam Lê Quán chi dạ gian tụ chúng khu sát nhân ư đô thị	
事 𭛁 下 獄 辝 連 内 官 及 諸 有 司 男 十 餘 人	Sự phát hạ ngục từ liên nội quan cập chư hữu ti nam thập dư nhân	
獄 將 成 太 后 以 犬 居 大 臣 典 禁 兵 帝 所 倚 重	Ngục tương thành Thái hậu dĩ Khuyển cư Đại thần điển cấm binh đế sở ỷ trọng	
若 殺 之 恐 傷 犬 心 乃 枉 法 赦 之 仍 收 償 錢 還 死 者 而 已	Nhược sát chi khủng thương Khuyển tâm nãi uông pháp xá chi nhưng thu thường tiền hoàn tử giả nhi dĩ	
諫 官 黎 霖 噤 不 能 言 至 有 都 市 童 子 扼 腕 語 曰 吾 恨 不 為 官 者 耳	Gián quan Lê Lâm cấm bất năng ngôn chí hữu đô thị đồng tử ách uyển ngữ viết Ngô hận bất vi đài quan giả nhĩ	
占 城 人 還 我 國 人 口 程 元 頲 等 七 十 人	Chiêm Thành nhân hoàn ngã quốc nhân khẩu Trình Nguyên Đĩnh đẳng thất thập nhân	
以 元 頲 爲 政 事 院 同 參 𬢱	Dĩ Nguyên Đĩnh vi Chính sự viện đồng tham nghị	
新 增 律 田 産 章 十 四 條	Tân tăng luật điền sản chương thập tứ điều	
初 太 組 欲 均 田 故 畧 田 産 章	Sơ Thái Tổ dục quân điền cố lược điền sản chương	
至 是 增 之	Chí thị tăng chi	
以 南 策 上 路 安 撫 副 使 阮 直 為 翰 林 院 侍 講 歸 化 路 安 撫 使 阮 如 堵 國 威 下 路 安 撫 副 使 梁 如 鵠 並 為 翰 林 直 學 士 路 教 程 伯 恭 陶 復 禮 並 為 監 察 御 史 翰 林 院 直 學 士 阮 堯 資 為 新 興 上 路 安 撫 使 中 書 舍 人 鄭 鐵 長 為 清 化 南 路 安 撫 使 朱 添 威 為 新 興 下 路 安 撫 使 國 子 監 教 授 阮 汝 弼 為 建 昌 路 安 撫 副 使 教 授 爲 安 撫 自 汝 弼 始	Dĩ Nam Sách thượng lộ An phủ phó sứ Nguyễn Trực vi Hàn lâm viện thị giảng Quy Hoá lộ An phủ sứ Nguyễn Như Đổ Quốc Oai hạ lộ An phủ phó sứ Lương Như Hộc tịnh vi Hàn lâm trực học sĩ lộ giáo Trình Bá Cung Đào Phục Lễ tịnh vi Giám sát ngự sử Hàn lâm viện trực học sĩ Nguyễn Nghiêu Tư vi Tân Hưng thượng lộ An phủ sứ Trung thư xá nhân Trịnh Thiết Trường vi Thanh Hoá Nam lộ An phủ sứ Chu Thiêm Uy vi Tân Hưng hạ lộ An phủ sứ Quốc tử giám giáo thụ Nguyễn Nhữ Bật vi Kiến Xương lộ An phủ phó sứ Giáo thụ vi An phủ tự Nhữ Bật thuỷ	
以 起 居 舍 人 阮 荗 爲 立	Dĩ khởi cư xá nhân Nguyễn Mậu vi Lập	
石 縣 轉 運 使 陽 執 中 為 水 棠 縣 轉 運 使 御 前 𭓇 生 阮 達 為 大 蠻 縣 轉 運 使	Thạch huyện chuyển vận sứ Dương Chấp Trung vi Thuỷ Đường huyện chuyển vận sứ Ngự tiền học sinh Nguyễn Đạt vi Đại Man huyện chuyển vận sứ	
以 黎 少 頴 為 三 𢃄 路 教 授	Dĩ Lê Thiếu Dĩnh vi Tam Đái lộ Giáo thụ	
初 少 頴 為 審 刑 院 僉 知 以 犯 贓 罪 罷 職 還 民 終 身 不 叙 用	Sơ Thiếu Dĩnh vi Thẩm hình viện thiêm tri dĩ phạm tang tội bãi chức hoàn dân chung thân bất tự dụng	
至 是 復 以 为 教 授	Chí thị phục dĩ vi giáo thụ	
以 國 子 監 教 授 阮 天 縱 為 司 業 教 授 阮 超 為 助 教 粱 夢 星 武 永 禎 為 直 講 司 刑 院 大 夫 符 世 豪 為 古 費 縣 轉 運 副 使	Dĩ Quốc tử giám giáo thụ Nguyễn Thiên Túng vi Tư nghiệp giáo thụ Nguyễn Siêu vi trợ giáo Lương Mộng Tinh Vũ Vĩnh Trinh vi Trực giảng ti hình viện Đại phu phù Thế Hào vi Cổ Phí huyện chuyển vận phó sứ	
文 盤 縣 轉 運 副 使 梁 宗 驥 受 賂 事 𭛁	Văn Bàn huyện Chuyển vận phó sứ Lương Tông Ký thụ lộ sự phát	
獄 成 將 斬 驥 因 左 右 求 免 死 太 尉 黎 可 曰 國 法 不 可 赦 又 曰 盗 一 家 猶 不 可 赦 况 宗 驥 盗	Ngục thành tương trảm KÝ Nhân tả hữu cầu miễn tử Thái uý Lê Khả viết Quốc pháp bất khả xá hựu viết Đạo nhất gia do bất khả xá huống Tông Ký đạo	
一 縣 乎	nhất huyện hồ	
再 下 對 断 死 罪	tái hạ đối đoạn tử tội	
庚 午 八 年 明 恭 宗 景 泰 元 春 三 月 放 黎 列 妻 子 於 天 牢	Canh Ngọ bát niên Minh Cung Tông Cảnh Thái nguyên Xuân tam nguyệt phóng Lê Liệt thê tử ư Thiên Lao	
秋 七 月 明 以 李 實 充 正 使 偕 北 虜 使 北 行	Thu thất nguyệt Minh dĩ Lí Thực sung chánh sứ giai Bắc lỗ sứ Bắc hành	
十 五 日 實 等 見 明 英 宗 泣 下 行 拜 禮 見 英 宗 所 居 皮 帳 布 幃 蓆 地 而 寢 因 奏 今 陛 下 服 食 粗 陋 不 堪	Thập ngũ nhật Thực đẳng kiến Minh Anh Tông khấp hạ hành bái lễ tất kiến Anh Tông sở cư bì trướng bố vi tịch địa nhi tẩm nhân tấu Kim bệ hạ phục thực thô lậu bất kham	
因 極 言 王 振 寵 之 太 甚 以 至 陛 下 𫎇 塵 之 禍	Nhân cực ngôn Vương Chấn sủng chi thái thậm dĩ chí bệ hạ mông trần chi hoạ	
英 宗 曰 朕 今 悔 何 及	Anh Tông viết Trẫm kim hối hà cập	
實 即 事 賦 一 詩 云 重 整 衣 冠 拜 上 皇 偶 聞 天 語 重 凄 凉	Thực tức sự phú nhất thi vân Trùng chỉnh y quan bái thượng hoàng Ngẫu văn thiên ngữ trọng thê lương	
腥 膻 克 復 非 天 祿	Tinh chiên sung phúc phi thiên lộc	
草 野 為 君 異 帝 鄕	Thảo dã vị quân dị đế hương	
始 信 奸 臣 移 國 柄 終 教 胡 虜	Thuỷ tín gian thần di quốc bính Chung giao hồ lỗ	
叛 天 常	phản thiên thường	
只 今 天 使 通 和 好 翠 輦 南 旋 省 見 章	Chỉ kim thiên sứ thông hoà hiếu Thuý liễn nam tuyền tỉnh Kiến Chương	
是 時 北 虜 囚 長 也 先 命 頭 目 率 五 百 騎 送 明 英 宗 至 燕 京	Thị thời Bắc Lỗ tù trưởng Dã Tiên mệnh đầu mục suất ngũ bách kị tống Minh Anh Tông chí Yên Kinh	
百 官 迎 于 燕 定 門	Bách quan nghênh vu An Định môn	
英 宗 自 東 安 門 入	Anh Tông tự Đông An môn nhập	
景 拜 迎 推 遜 莨 久 乃 送 英 宗 至 南 宮	Cảnh bái nghênh suy tốn lương cửu nãi tống Anh Tông chí Nam Cung	
群 臣 就 見 而 冬 十 月 遣 西 道 參 知 何 栗 為 正 使 翰 林 院 直 𭓇 士 阮 如 堵 國 子 監 助 教 同 亨 𭛁 為 副 使 如 明 歲 辛 未 久 年 明 景 太 二 年	quần thần tựu kiến nhi Đông thập nguyệt khiển Tây đạo tham tri Hà Lật vi chánh sứ Hàn lâm viện trực học sĩ Nguyễn Như Đổ Quốc tử giám trợ giáo Đồng Hanh Phát vi phó sứ như Minh tuế Tân Mùi cửu niên Minh Cảnh Thái nhị niên	
夏 四 月 以 灾 異 下 詔 曰 北 歲 以 來 旱 蝗 将 仍 災 㐱 荐	Hạ tứ nguyệt dĩ tai dị hạ chiếu viết Bắc tuế dĩ lai hạn hoàng tương nhưng tai chẩn tiến	
至 今 年 方 春 雨 雹 又 作	Chí kim niên phương xuân vũ bạo hựu tác	
抑 政 事 鈌 失 而 未 能 修 将 調 爕 失 宜 而 致 傷	Ức chính sự khuyết thất nhi vị năng tu cử dư Tương điều nhiếp thất nghi nhi trí thương	
和 氣 歟 或 刑 獄 冤 濫 而 未 能 伸 雪 將 賦 役 繁 重 而 下 民 咨 怨 靜 思 厥 𠧨 盖 有 其 由 苟 不 施 實 惠 以 慰 民 心 将 何 以 答 上 天 而 弭 災 变 其 宥 條 有 饒 諸 税 迯 從 征 迯 軍 迯 民 許 出 首 在 獄 諸 訟 沉 滯 聽 具 由 奏 呈 等 事	hoà khí dư Hoặc hình ngục oan lạm nhi vị năng thân tuyết dư Tương phú dịch phồn trọng nhi hạ dân tư oán dư Tĩnh tư quyết cữu cái hữu kì do Cẩu bất thí thực huệ dĩ uý dân tâm tương hà dĩ đáp thượng thiên nhi nhĩ tai biến Kì hựu điều hữu nhiêu chư thuế tốn tòng chinh tốn quân tốn dân hứa xuất thủ tại ngục chư tụng trầm đái thính cụ do tấu trình đẳng sự	
秋 七 月 二 十 六 日 殺 太 尉 黎 可 及 男 黎 括 司 㓂 鄭 克 復 及 男 駙 馬 都 尉 鄭 伯 崖	Thu thất nguyệt nhị thập lục nhật sát Thái uý Lê Khả cập nam Lê Quát Tư khấu Trịnh KHắc Phục cập nam phò mã đô uý Trịnh Bá Nhai	
冬 十 月 明 遣 正 使 行 人 司 行 人 邉 永 副 使 進 士 程 惠 來 告 即 位	Đông thập nguyệt Minh khiển chánh sứ hành nhân ti hành nhân Biên Vĩnh phó sứ tiến sĩ Trình Huệ lai cáo tức vị	
先 是 明 英 宗 北 征 為 也 先 所 獲	Tiên thị Minh Anh Tông Bắc chinh vị Dã Tiên sở hoạch	
弟 郕 祁 鈺 監 國 因 自 立 改 元 景 泰 故 遣 邉 永 等 來 告	đệ Thành Vương Kì Ngục giám quốc nhân tự lập cải nguyên Cảnh Thái cố khiển Biên Vĩnh đẳng lai cáo	
十 八 日 遣 同 知 東 道 程 真 中 書 黄 門 侍 郎 阮 廷 美 審 刑 院 同 知 馮 文 達 如 明 賀 即 位	Thập bát nhật Khiển đồng tri Đông đạo Trình Chân Trung thư hoàng môn thị lang Nguyễn ĐÌnh Mĩ Thẩm hình viện Đồng tri Phùng Văn Đạt như Minh hạ tức vị	
任 申 十 年 明 景 泰 三 年 夏 四 月 因 太 尉 黎 受 男 黎 是 以 是 行 符 咒 土 地 故 也	Nhâm Thân thập niên Minh Cảnh Thái tam niên Hạ tứ nguyệt nhân Thái uý Lê Thụ nam Lê Thị dĩ Thị hành phù chú thổ địa cố dã	
秋 七 月 三 日 以 災 異 下 詔 曰 比 歲 以 來 災 異 荐 臻 歲 屢 凶 歉	Thu thất nguyệt tam nhật dĩ tai dị hạ chiếu viết Tỉ tuế dĩ lai tai dị tiến trăn tuế lũ hung khiểm	
民 物 不 遂 其 生	Dân vật bất toại kì sinh	
朕 甚 惧 焉	Trẫm thậm cụ yên	
實 由 朕 上 不 能 克 享 天 心 下 不 能 遵 守 祖 宗	Thực do Trẫm thượng bất năng khắc hưởng thiên tâm hạ bất năng tuân thủ tổ tông	
成 憲 任 貫 不 得 其 人 政 事 有 所 闕 失 以 致 然 也	Thành hiến nhiệm quan bất đắc kì nhân chính sự hữu sở khuyết thất dĩ trí nhiên dã	
今 思 所 以	Kim tư sở dĩ	
弭 災 召 和 可 不 遵 成 憲 而 革 弊 政 乎 其 合 行 事 例 用 廉 能 汰 闒 茸 行 黜 陟 免 諸 税 理 寃 獄 賑 恤 鰥 寡 孤 獨 等 事	nhĩ tai triệu hoà Khả bất tuân thành hiến nhi cách tệ chính hồ Kì hợp hành sự lệ dụng liêm năng thải tháp nhũng hành truất trắc miễn chư thuế lí oan ngục chẩn tuất quan quả cô độc đẳng sự	
冬 十 月 十 五 日 明 遣 正 使 刑 部 郎 中 陳 金 副 使 行 人 司 行 人 郭 仲 南 來 告 立 皇 太 子 并 賜 綵 幣	Đông thập nguyệt thập ngũ nhật Minh khiển chánh sứ Hình bộ lang trung Trần Kim phó sứ Hành nhân ti hành nhân Quách Trọng Nam lai cáo lập Hoàng thái tử tịnh tứ thái tệ	
二 十 三 日 遣 使 如 明 正 使 審 刑 院 范 瑜 副 使 翰 林 院 直 𭓇 士 阮 伯 驥 禮 部 員 外 郎 朱 車 賀 立 皇 太 子	Nhị thập tam nhật khiển sứ như Minh Chánh sứ thẩm hình viện Phạm Du phó sứ Hàn lâm viện trực học sĩ Nguyễn Bá Kí Lễ bộ viên ngoại lang Chu Xa hạ lập Hoàng thái tử	
正 使 震 雷 軍 指 揮 黎 尚 副 使 侍 御 史 黎 專 謝 賜 綵 幣	Chánh sứ Chấn lôi quân chỉ huy Lê Thượng Phó sứ thị ngự sử Lê Chuyên tạ tứ thái tệ	
癸 酉 十 一 年 明 景 泰 四 年	Quý Dậu thập nhất niên Minh Cảnh Thái tứ niên	
春 二 月 十 一 日 大 赦	Xuân nhị nguyệt thập nhất nhật đại xá	
會 試 下	Hội thí hạ	
舉 人 賜 武 伯 澈 等 進 士 及 弟	Cử nhân tứ Vũ Bá Triệt đẳng tiến sĩ cập đệ	
冬 十 一 月 帝 遣 陪 臣 阮 原 橋 阮 旦 陳 允 𧗼 等 如 明 歲 貢	Đông thập nhất nguyệt đế khiển bồi thần Nguyễn Nguyên Kiều Nguyễn Đán Trần Doãn Huy đẳng như Minh tuế cống	
二 十 一 日 帝 初 親 政 改 原 大 赦 以 明 年 正 月 為 延 寧 元 年	Nhị thập nhất nhật đế sơ thân chính cải nguyên đại xá dĩ Minh niên chính nguyệt vi Diên Ninh nguyên niên	
其 赦 條 則 有 贈 功 臣 黎 禮 黎 僃 黎 篆 等 職 各 一 等 給 黎 察 黎 銀 黎 可 黎 謙 鄭 克 復 等 官 田 一 百 畝 并 存 恤 鰥 寡 孤 獨 及 旌 表 義 夫 節 婦 等 事	Kì xá điều tắc hữu tặng công thần Lê Lễ Lê Bị Lê Triện đẳng chức các nhất đẳng cấp Lê Sát Lê Ngân Lê Khả Lê Khiêm Trịnh Khắc Phục đẳng quan điền nhất bách mẫu tịnh tồn tuất quan quả cô độc cập tinh biểu nghĩa phu tiết phụ đẳng sự	
甲 恤 延 寧 元 年 明 景 太 元 年	Giáp Tuất Diên Ninh nguyên niên Minh Cảnh Thái nguyên niên	
春 正 月 鑄 延 寧 錢	Xuân chính nguyệt chú Diên Ninh tiền	
選 補 軍	Tuyển bổ quân	
伍 并 汰 出 老	ngũ tịnh thải xuất lão	
攅 造 户 籍	Toản tạo hộ tịch	
夏 五 月 黄 龍 見 于 西 門 人 加 鍵 瓴 之 下	Hạ ngũ nguyệt Hoàng long hiện vu Tây môn nhân gia kiện linh chi hạ	
乂 安 地 方 竹 葉 黄	Nghệ An địa phương trúc diệp hoàng	
乙 亥 二 年 明 景 泰 六 年	Ất Hợi nhị niên Minh Cảnh Thái lục niên	
命 潘 孚 先 撰 大 越 史 記 自 陳 太 宗 至 明 人 還 國	Mệnh Phan Phu Tiên soạn Đại Việt sử ký Tự Trần Thái Tông chí Minh nhân hoàn quốc	
冬 十 月 玉 麻 州 有 鼠 大 諸	Đông thập nguyệt Ngọc Ma châu hữu thử đại chư	
丙 子 三 年 明 景 太 七 年 春 正 月 三 日 大 宴 百 官 諒 山 王 二 月 四 日 御 史 中 丞 范 瑜 等 劾 奏 金 吾 衛 同 總 知 黎 适 不 能 奉 法 於 今 年 會 集 軍 期 差 軍 人 七	Bính Tí tam niên Minh Cảnh Thái thất niên Xuân chính nguyệt tam nhật đại yến bách quan Lạng Sơn Vương Nhị nguyệt tứ nhật Ngự sử trung thừa Phạm Du đẳng hặc tấu kim ngô vệ đồng tổng tri Lê Quát bất năng phụng pháp ư kim niên hội tập quân kì sai quân nhân thất	
十 人 造 私 船 損 費 軍 錢 凣 十 八 貫 乞 刑 官 對 實 按 罪 以 懲 其 餘 黎 适 奏 曰 臣 本 籃 邑 人 自 籃 京 回 所 有 私 船 朽 爛	thập nhân tạo tư thuyền tổn phí quân tiền phàm thập bát quán khất hình quan đối thực án tội dĩ trừng kì dư Lê Quát tấu viết Thần bản Lam ấp nhân nang tự Lam Kinh hồi sở hữu tư thuyền hủ lạn	
臣 將 扈 駕 役 於 今 年 暫 差 軍 人 飭 助 若 所 費 軍 錢 則 臣 不 知	Thần tương hộ giá dịch ư kim niên tạm sai quân nhân sức trợ nhược sở phí quân tiền tắc thần bất tri	
瑜 又 奏 曰 臣 等 忝 居 言 職 不 可 畏 避 權 勢 亦 不 可 緘 然 不 言 誠 如 聖 諭	Du hựu tấu viết Thần đẳng thiểm cư ngôn chức bất khả uý tị quyền thế diệc bất khả giam nhiên bất ngôn thành như thánh dụ	
臣 今 劾 奏 黎 适 差 軍 造 私 船 臣 等 以 令 兒 探 實 又 勾 本 軍 火 頭 端 稱 皆 言 實 有	Thần kim hặc tấu Lê Quát sai quân tạo tư thuyền thần đẳng dĩ lệnh đài nhi thám thực hựu cấu bản quân hoả đầu đoan xưng giai ngôn thực hữu	
今 黎 适 調 臣 等 以 私 彈 劾 起 臣 等 以 恩 怨 言 事 耶	Kim Lê Quát điều thần đẳng dĩ tư đạn hặc khởi thần đẳng dĩ ân oán ngôn sự da	
六 日 賜 盆 忙 頭 目 衣 帛 有 差	Lục nhật Tứ Bồn Mường đầu mục y bạch hữu sai	
以 盆 忙 頭 目	Dĩ Bồn Mường đầu mục	
郎 吒 於 正 月 貢 噐 物 也	Lang Cha ư chính nguyệt cống khí vật dã	
旨 揮 令 州 父 道 琴 公 為 振 遠 上 將 軍	Chỉ huy lệnh châu phụ đạo Cầm Công vi Thấn viễn thượng tướng quân	
命 員 外 郎 鄭 瑤 賫 旨 揮 徃 諭 之 以 賞 賜 大 紅 織 金 團 衣 高 山 巾 相 銀 帶 馬 鞍 交 椅 卓 子 等 物	Mệnh Viên ngoại lang Trịnh Dao tê chỉ huy vãng dụ chi dĩ thưởng tứ đại hồng chức kim đoàn y cao sơn cân tương ngân đái mã yên giao ỷ trác tử đẳng vật	
旨 揮 𭁈 入 内 司 徒 平 章 事 黎 囂 入 内 都 督 平 章 事 黎 榴 等 守 僃 城 池 等 役 日 夜 嚴 加 巡 警 内 外 如 法	Chỉ huy dữ nhập nội tư đồ bình chương sự Lê Hiêu Nhập nội đô đốc bình chương sự Lê Lựu đẳng thủ bị thành trì đẳng dịch nhật dạ nghiêm gia tuần cảnh nội ngoại như pháp	
八 日 丁 未 帝 如 籃 京 癸 丑 至 籃 京	Bát nhật Đinh Mùi đế như Lam Kinh Quý Sửu chí Lam Kinh	
是 夜 雹	Thị dạ bạo	
十 五 日 帝 親 率 百 官 拜 謁 山 陵	Thập ngũ nhật đế thân suất bách quan bái yết Sơn lăng	
乃 旨 揮 籃 山 等 陵 官 係 本 祠 各 役 務 要 誠 敬 精 潔 斬 木 伐 竹 採 取 柴 薪 寢 廟 用 牛 四 擊 銅	Nãi chỉ huy Lam Sơn đẳng lăng quan hệ bản từ các dịch vụ yếu thành kính tinh khiết trảm mộc phạt trúc thái thủ sài tân tẩm miếu dụng ngưu tứ kích đồng	
鼔 軍 士 讙 應	cổ quân sĩ hoan ứng	
樂 武 奏 平 吳 破 陣 之 舞 文 奏 諸 侯 莱 朝 之 舞	Nhạc võ tấu Bình Ngô phá trận chi vũ văn tấu Chư hầu lai triều chi vũ	
大 司 徒 黎 秘 詣 昭 孝 王 忠 勇 王 廟 用 牛 三	Đại tư đồ Lê Bí nghệ Chiêu Hiếu Vương Trung Dũng Vương miếu dụng ngưu tam	
尚 書 令 黎 康 詣 弘 祐 大 王 廟 用 牛 一	Thượng thư lệnh Lê Khang nghệ Hoằng Hựu Đại Vương miếu dụng ngưu nhất	
内 院 副 使 杜 時 曄 卒	Nội viện phó sứ Đỗ Thời Việp tốt	
二 十 一 日 宴 扈 駕 文 武 及 外 任 𦤶 仕 等 官 於 籃 京 行 殿 賞 錢 有 差	Nhị thập nhất nhật yến hộ giá văn võ cập ngoại nhiệm trí sĩ đẳng quan ư Lam Kinh hành điện thưởng tiền hữu sai	
明 日 旨 揮 𭁈 大 臣 議 定 籃 山 山 陵 廟 殿 號 正 殿 曰 光 德 曰 崇 孝 後 殿 曰 衍 慶 又 令 清 化 撫 軍 造 太 皇 太 妃 寢 宮 於 籃 山 陵 殿 西	Minh nhật chỉ huy dữ đại thần nghị định Lam Sơn Sơn Lăng miếu điện hiệu chính điện viết Quang Đức viết Sùng Hiếu hậu điện viết Diễn Khánh hựu lệnh Thanh Hoá phủ quân tạo Thái hoàng thái phi tẩm cung ư Lam Sơn lăng điện tây	
三 十 日 帝 至 自 西 京	Tam thập nhật đế chí tự Tây Kinh	
是 日 有 青 黄 赤 白 氣 如 虹 蜺 抱 日	Thị nhật hữu thanh hoàng xích bạch khí như hồng nghê bão nhật	
三 月 二 日 命 入 内 都 督 平 章 事 黎 醯 等 往 太 原 鎮 界 上 公 幹 入 内 大 行 遣 知 三 舘 事 入 侍 經 筵 陶 公 僎 西 道 行 遣 阮 有 光 北 道 行 遣 黎 景 𧗼 審 刑 院 使 程 真 内 密 院 同 知 黎 懷 之 皆 行 至 太 原 界 上 三 司 官 不 至 乃 還	Tam nguyệt nhị nhật Mệnh nhập nội đô đốc bình chương sự Lê Ê đẳng vãng Thái Nguyên trấn giới thượng công cán Nhập nội đại hành khiển tri tam quán sự nhập thị kinh diên Đào Công Soạn Tây đạo hành khiển Nguyễn hữu Quang Bắc đạo hành khiển Lê Cảnh Huy Thẩm hình viện sứ Trình Chân Nội mật viện đồng tri Lê Hoài chi giai hành chí Thái Nguyên giới thượng tam ti quan bất chí nãi hoàn	
時 太 原 與 廣 西 太 平 府 州 接 境 其 鎮 州	Thời Thái Nguyên dữ Quảng Tây Thái Bình phủ châu tiếp cảnh Kì trấn châu	
頭 目 農 敬 及 譚 寬 互 相 殺 掠 人 口 牛 畜 以 占 越 地 方 故 有 是 命	Đầu mục Nông KÍnh cập Đàm Khoan hỗ tương sát lược nhân khẩu ngưu súc dĩ chiếm Việt địa phương cố hữu thị mệnh	
