國 之 有 史 尙 矣	Nước có sử đã từ lâu	
乙 丑 十 六 年 宋 天 聖 三 年	Ất Sửu Thuận Thiên năm thứ mười sáu Tống Thiên Thánh năm thứ ba	
春 二 月 真 臘 國 來 貢	Mùa xuân tháng hai nước Chân Lạp sang cống	
詔 立 定 藩 寨 于 驩 州 南 界 以 甲 李 台 偕 為 寨 主	Xuong chiếu lập trại Định Phiên Chú giải ở địa giới Hoan Châu dĩ quản giáp Lí Thai Giai làm trại chủ	
八 月 定 兵 為 甲 每 甲 十 五 人 用 一 人 為 甲	Tháng tám định quân làm giáp mỗi giáp mười năm người dùng một người làm quản giáp	
又 定 諸 邑 各 甲	Lại định các cấp bậc quản giáp ở các ấp	
又 改 火 頭 為 正 首 惟 唱 兒 乃 號 甲 時 有 唱 女 陶 氏 長 於 本 藝 常 得 賞 賜	Lại cải tên chức vụ từ hỏa đầu thành chính thủ chỉ có con hát mới được gọi là quản giáp Thời ấy có con hát là Đào thị giỏi nghề hát thường được thưởng	
時 人 慕 其 名 凡 唱 女 並 呼 為 陶 娘	Người thời bấy giờ mến mộ tiếng hát của Đào thị tất cả các con hát đều gọi là Đào nương	
僧 萬 行 死 萬 行 無 疾 而 死 時 人 謂 之 化 身	Sư Vạn Hạnh qua đời Vạn Hạnh không bệnh mà mất người bấy giờ gọi là hoá thân	
史 臣 吳 士 連 曰 僧 萬 行 初 見 李 祖 知 非 常 人 及 見 震 文 揣 知 時 變 則 其 智 識 起 乎 凡 人 矣	Sử thần Ngô Sĩ Liên viết Sư Vạn Hạnh khi mới gặp Lý Thái Tổ đã biết đây không phải người thường khi thấy sét đánh thành vết chữ đoán biết thời thế thay đổi có tri thức vượt người thường	
然 而 决 性 命 廢 人 倫 厭 塵 嚚 依 禪 寝 以 獨 絜 君 子 不 與 也	Nhưng dứt bỏ tính mệnh bỏ nhân luân chán trần tục ồn ào nương cửa thiền để thanh tĩnh một mình người quân tử không cho là đúng	
丙 寅 十 七 年 宋 天 聖 四 年	Bính Dần Thuận Thiên năm thứ mười bảy Tống Thiên Thánh năm thứ bốn	
春 正 月 詔 修 玉 牒	Mùa xuân tháng giêng xuống chiếu làm Ngọc điệp	
秋 八 月	Mùa thu tháng tám	
遣 李 徵 顯 黎 再 嚴 如 宋 結 好	Sai Lý Trưng Hiển và Lê Tái Nghiêm sang nước Tống để thiết lập quan hệ hòa hảo	
冬 十 一 月 真 臘 國 來 貢	Mùa đông tháng mười một nước Chân Lạp sang cống	
詔 開 天 王 討 演 州 賊	Xuống chiếu cho Khai Thiên Vương đi đánh giặc ở Diễn Châu	
丁 卯 十 八 年 宋 天 聖 五 年	Đinh Mão Thuận Thiên năm thứ mười tám Tống Thiên Thánh năm thứ năm	
夏 六 月 旱	Mùa hạ tháng sáu đại hạn	
秋 八 月 詔 寫 三 藏 經	Mùa thu tháng tám xuống chiếu chép kinh Tam tạng	
詔 開 天 王 討 七 源 州 東 征 王 討 文 州	Xuống chiếu cho Khai Thiên Vương Phật Mã đi đánh châu Thất Nguyên Đông Chinh Vương Lực đi đánh Văn Châu	
戊 辰 十 九 月 三 月 元 年	Mậu Thìn Thuận Thiên năm thứ mười chín Từ tháng ba về sau là niên hiệu Lý Thái Tông Thiên Thành năm thứ một Tống Thiên Thánh năm thứ sáu	
春 二 月 帝 弗 豫 三 月 丙 申 朔 日 食	Mùa xuân tháng hai vua không khỏe Tháng ba ngày mồng một Bính Thân nhật thực	
戊 戌 帝 崩 于 龍 安 殿	Ngày Mậu Tuất vua qua đời ở điện Long An	
群 臣 皆 詣 龍 德 宫 請 太 子 奉 遺 詔 即 位	Các bề tôi đều đến cung Long Đức để thỉnh Thái tử theo di chiếu lên ngôi	
東 征 翊 聖 武 德 三 王 聞 之 皆 帥 府 兵 入 伏 禁 城	Ba vương là Đông Chinh Lực Dực Thánh và Vũ Đức nghe tin đều dẫn quân vào cấm thành	
東 征 王 伏 于 龍 城 内 翊 聖 武 德 二 王 各 自 伏 于 廣 福 門 内 侯 太 子 至 襲 之	Đông Chinh Vương phục trong Long Thành hai vương Dực Thánh và Vũ Đức tự phục trong cửa Quảng Phúc đợi Thái tử đến để tấn công	
有 頃 太 子 自 祥 符 門 入 至 乾 元 殿 覺 變 命 内 竪 閉 諸 殿 門 及 使 宫 中 衛 士 守 備 因 謂 左 右 曰 我 於 兄 弟 無 所 毫 負	Một lát sau thái tử từ cửa Tường Phù vào đến điện Càn Nguyên biết có biến sai người hầu đóng hết các cửa điện và sai các vệ sĩ trong cung phòng giữ nhân bảo tả hữu rằng Ta đối với anh em không phụ bạc chút nào	
今 三 王 行 不 義 忘 先 帝 之 遺 命 欲 圖 大 位 卿 等 以 為 何 如	Nay ba vương làm việc bất nghĩa quên di mệnh của Tiên đế mưu chiếm ngôi báu các khanh nghĩ thế nào	
內 侍 李 仁 義 曰 兄 之 與 弟 内 可 以 協 謀 外 可 以 禦 侮	Nội thị là Lý Nhân Nghĩa nói Anh em với nhau bên trong có thể hiệp sức bàn mưu bên ngoài có thể cùng nhau chống giặc	
今 三 王 反 以 為 兄 弟 乎 以 為 仇 讎 乎 願 許 臣 等 一 戰 以 决 勝 負	Nay ba vương làm phản thì là anh em hay là kẻ thù Xin cho bọn thần đánh một trận để quyết được thua	
太 子 曰 吾 耻 先 帝 未 殯 骨 肉 相 殘 寧 不 為 萬 世 笑 耶 仁 義 曰 臣 聞 務 遠 圖 者 忘 近 功 存 公 道 者 割 私 愛 此 唐 太 宗 周 公 旦 出 不 得 已 之 奉	Thái tử nói Ta lấy làm xấu hổ là Tiên đế mới mất chưa quàn mà cốt nhục đã giết nhau há chẳng để cho muôn đời chê cười sao Nhân Nghĩa nói Thần nghe rằng muốn mưu xa thì phải quên công gần giữ đạo công thì phải dứt tình riêng đó là việc Đường Thái Tông và Chu Công Đán bất đắc dĩ phải làm	
今 殿 下 以 唐 太 周 公 為 務	Nay điện hạ có cho Đường Thái và Chu Công là chăm lo việc này	
遠 圖 存 公 道 耶 抑 為 貪 近 功 溺 私 愛 耶 殿 下 能 偕 唐 太 周 公 之 遺 迹 則 後 世 之 人 將 頌 功 德 之 不 暇 何 暇 笑 哉 又 曰 先 帝 以 殿 下 善 足 以 志 才 足 以 濟 事 故 以 天 下 付 託 殿 下	Mưu xa giữ đạo công chăng Hay là tham công gần đắm tình riêng chăng Điện hạ biết theo dấu cũ của Đường Thái Chu Công thì đời sau ca tụng công đức còn chưa rỗi còn rỗi đâu mà chê cười Nhân Nghĩa lại nói Tiên đế cho điện hạ là người hiền đủ để nối được chí tài đủ để làm nổi việc nên đem thiên hạ phó thác cho điện hạ	
今 賊 逼 宫 門 而 隱 忍 如 此 其 如 先 帝 付 託 何	Nay giặc đến vây bức cửa cung mà ẩn nhẫn như thế thì đối với sự phó thác của Tiên đế ra sao	
太 子 默 然 良 久 謂 仁 義 及 宫 臣 楊 平 郭 盛 李 玄 師 黎 奉 曉 等 曰 吾 不 知 唐 太 周 公 之 所 為 若 是 乎 吾 欲 掩 晦 其 罪 惡 使 自 退 伏 以 全 吾 骨 肉 為 上 耳	Thái tử im lặng hồi lâu rồi bảo Nhân Nghĩa và bề tôi trong cung là bọn Dương Bình Quách Thịnh Lý Huyền Sư Lê Phụng Hiểu rằng Ta há lại không biết việc làm của Đường Thái Chu Công hay sao Chỉ vì ta muốn che giấu tội ác của ba vương khiến họ tự ý rút quân chịu tội để được vẹn toàn tình cốt nhục là hơn	
時 三 府 兵 愈 急 太 子 度 不 能 制 曰 勢 既 如 此 我 何 靣 目 與 三 王 見 乎 吾 但 成	Khi ấy phủ binh của ba vương vây bức càng gấp Thái tử liệu không thể ngăn được nói Thế đã như vậy ta còn mặt mũi nào trông thấy ba vương nữa Ta chỉ biết làm lễ thành	
服 奉 侍 先 帝 此 外 皆 委 卿 也	Phục đứng hầu Tiên đế ngoài ra đều uỷ cho các khanh cả	
仁 義 等 皆 再 拜 曰 死 君 之 難 臣 等 之 職 分	Bọn Nhân Nghĩa đều lạy hai lạy nói Chết vì vua gặp nạn là chức phận của bọn thần	
今 既 得 死 所 將 復 何 辞	Nay đã được chỗ đáng chết còn từ chối gì nữa	
乃 令 宫 中 衛 士 開 門 出 戰 人 樂 赴 難 無 不 一 當 百	Bèn ra lệnh cho vệ sĩ trong cung mở cửa ra đánh ai cũng vui lòng xông pha đều là một người địch với trăm người	
兵 接 戰 未 决 勝 負 奉 曉 怒 援 劍 直 至 廣 福 門 大 呼 謂 武 德 王 等 覬 覦 神 噐 視 嗣 君 上 志 先 帝 之 恩 下 皆 臣 子 之 義 所 以 臣 奉 曉 捧 斯 劍 為 獻	Quân đánh nhau chưa phân được thua Phụng Hiểu tức giận rút gươm chạy thẳng đến cửa Quảng Phúc hô to rằng Bọn Vũ Đức Vương ngắp nghé ngôi báu không coi vua nối vào đâu trên quên ơn Tiên đế dưới trái nghĩa tôi con vì thế thần là Phụng Hiểu xin đem thanh gươm này để dâng	
乃 直 犯 武 德 王 馬	Rồi xông thẳng đến chỗ ngựa của Vũ Đức Vương	
王 引 馬 避 之 馬 蹶 為 奉 曉 所 獲 殺 之	Vương quay ngựa tránh ngựa quỵ xuống bị Phụng Hiểu bắt giết	
三 府 兵 敗 走	Phủ binh của ba vương thua chạy	
官 軍 追 斬 之 殆 無 遺 者 惟 東 征 翊 聖 二 王 僅 以 身 免	Quan quân đuổi theo chém giết không sót một mống chỉ có hai vương Đông Chinh và Dực Thánh chạy thoát được	
奉 曉 等 還 以 服 武 奏 㨗 于 太 祖 柩 前 又	Bọn Phụng Hiểu trở về mặc áo trận đi vào báo tin thắng trận ở trước linh cữu Thái Tổ	
詣 乾 元 殿 吿 太 子	Đến điện Càn Nguyên báo cho thái tử biết	
太 子 勞 之 曰 吾 所 以 克 荷 先 帝 之 丕 基 全 父 母 之 遺 体 卿 等 之 力 也	Thái tử uý lạo rằng Ta sở dĩ được gánh vác cơ nghiệp to lớn của tiên đế toàn vẹn được thân thể của cha mẹ để lại đều là nhờ sức của các khanh cả	
吾 嘗 觀 唐 史 見 蔚 遲 敬 德 匡 君 之 難 自 謂 後 世 人 臣 無 可 比 者	Ta thường xem sử nhà Đường thấy Uất Trì Kính Đức giúp nạn vua tự nghĩ là bề tôi đời sau không ai sánh được	
今 日 遭 變 乃 知 奉 曉 之 忠 勇 過 敬 德 遠 矣	Ngày nay gặp biến mới biết Phụng Hiểu còn trung dũng hơn Kính Đức nhiều	
奉 曉 再 拜 曰 殿 下 德 感 天 地 敢 有 萌 異 圖 者 天 下 神 抵 皆 效 其 職 而 誅 滅 之 臣 等 何 力 之 有	Phụng Hiểu lạy tạ hai lạy nói Đức của điện hạ cảm động cả trời đất kẻ nào manh tâm mưu đồ gì khác thì trời đất thần linh đều làm hết chức phận mà giết đi bọn thần có công sức gì	
古 碑 潭 舍 二 村 爭 地 界 以 兵 相 向 奉 曉 謂 古 碑 人 曰 我 獨 擊 父 老 喜 貝 酒 饌 食 之 奉 曉 一 飯 數 斗 飲 且 過 量 既 而 挑 潭 舍 戰	Hai thôn Cổ Bi và Đàm Xá tranh nhau địa giới toan đánh nhau Phụng Hiểu bảo người thôn Cổ Bi rằng Một mình tôi có thể đánh được bọn họ Các phụ lão mừng lắm làm cơm rượu để thết Phụng Hiểu ăn một bữa mấy đấu gạo uống cũng quá mức rồi đến khiêu chiến với thôn Đàm Xá	
聳 身 扳 樹 横 擊 傷 損 者 潭 舍 大 惧 還 古 碑 田 太 祖 聞 其 名 因 以 為 將 迁 武 衛 將 軍	Phụng Hiểu cứ đứng thẳng lưng nhổ cây mà đánh tới tấp nhiều người bị thương Thôn Đàm Xá sợ phải trở về Thái Tổ nghe danh bèn phong cho làm tướng quân Võ Vệ	
至 是 以 靖 難 功 拜 都 綂 上 將 軍 侯 秩	Vì công lao dẹp loạn được phong chức Đô thống thượng tướng quân hầu trật	
天 感 聖 武 中 從 太 宗 南 征 為 前 鋒 大 破 虜 兵 名 震 藩	Dưới triều Thiên Cảm Thánh Vũ đi theo Thái Tôn nam chinh làm tiên phong đại phá quân địch danh vang khắp các chư hầu	
國	Khi thắng trận trở về định công Phụng Hiểu nói	
凱 還 定 功 奉 曉 曰 不 欲 爵 賞 願 得 立 氷 山 遠 擲 大 刀 驗 刀 墮 官 地 内 賜 以 作 業 從 之	Khi thắng trận trở về định công Phụng Hiểu nói Thần không muốn thưởng tước xin cho đứng trên núi Băng Sơn ném đao lớn đi xa đao rơi xuống chỗ nào trong đất công thì xin ban cho làm sản nghiệp Vua nghe theo	
奉 曉 登 山 一 擲 遠 十 餘 里 刀 墮 多 縻 鄕	Phụng Hiểu lên núi ném đao xa hơn đến nghìn dặm đao rơi xuống hương Đa Mi	
即 以 賜 之 蠲 所 刀 榖 稅	Vua bèn lấy số ruộng ấy ban cho tha thóc thuế cho ruộng ném đao ấy	
故 愛 州 賞 功 有 所 刀 之 名	Vì vậy người Châu Ái gọi ruộng thưởng công là ruộng ném đao	
黎 文 休 曰 李 家 封 嫡 子 皆 為 王 庶 子 皆 為 皇 子 而 皇 太 子 之 位 不 設	Lê Văn Hưu nói Nhà Lý phong cho các con mẹ đích đều làm vương các con mẹ thứ đều làm hoàng tử mà không đặt ngôi hoàng thái tử	
及 至 宫 軍 大 漸 方 攑 諸 子 一 人 入 繼 大 綂	Đến khi nào vua ốm nặng mới chọn một người trong các con cho vào để nối nghiệp lớn	
傳 之 成 俗 不 知 何 意 也	Truyền dần thành tục không biết là ý thế nào	
或 曰 李 家 不 先 正 儲 位 盖 欲 使 諸 子 亹 亹 為 善 謂	Có người nói Nhà Lý không đặt thái tử trước là vì muốn cho các con chăm làm điều thiện	
儲 位 既 定 則 君 臣 分 定 雖 有 微 子 之 賢 將 何 以 處 之 哉	Nếu lập ngôi thái tử thì phận vua tôi đã định dù có con hiền như Vi Tử cũng không biết xử trí thế nào	
曰 天 下 之 本 既 定 猶 有 楊 廣 飾 行 奪 嫡 之 禍 况 儲 貮 不 正 事 至 倉 卒 方 欲 榉 立 萬 一 有 三 夫	Đáp rằng Gốc thiên hạ đã định rồi mà còn có cái hoạ như Dương Quảng làm ra vẻ có đức hạnh để cướp ngôi đích huống chi nếu ngôi thái tử không chính sự việc sẽ rất nguy hiểm	
人 強 請 之 嗣 君 徐 文 通 弄 筆 之 遺 詔 雖 若 不 名 其 可 得 乎 有 國 家 者 當 以 此 為 戒	Nhân nài xin lập con khác Từ Văn Thông mua bút sửa di chiếu thì dù muốn không bằng lòng cũng chẳng được nữa Người có nước nhà nên lấy đó làm răn	
史 臣 吳 士 連 曰 同 心 同 德 必 事 業 之 成	Sử thần Ngô Sĩ Liên nói Cùng lòng cùng đức tất sự nghiệp có thể thành	
有 君 有 臣 何 艱 險 之 不 濟	Có vua có tôi gian hiểm nào cũng vượt được	
太 宗 當 創 鉅 痛 深 之 日 变 生 肘 腋 而 君 臣 處 之 曲 折 得 宜 險 難 以 濟 事 業 以 成 宗 廟 賴 以 尊 安	Thái Tông đương lúc đau xót biến loạn sinh ngay kẽ nách mà vua tôi xử trí gãy gọn phải lẽ vượt được hiểm nạn làm nên sự nghiệp tông miếu nhờ đó được vững yên	
非 君 臣 相 遇 同 德 同 心 如 是 乎 觀 史 所 載 太 宗 真 情 之 感 於 骨 肉 相 殘 之 言 仁 義 忠 憤 之 激 在 於 唐 太 周 公 之 事	Không phải là vua tôi gặp gỡ cùng đức cùng lòng mà được như thế ư Xem sử chép thì tình cảm chân thành của Thái Tông phát ra ở câu nói cốt nhục giết nhau lòng trung phẫn khích của Nhân Nghĩa tỏ ở chỗ dẫn việc Đường Thái Chu Công	
奉 曉 義 勇 之 奮 形 於 躍 馬 献 劍 之 時	Lòng nghĩa dũng hăng hái của Phụng Hiểu lộ ra ở lúc nhảy ngựa dâng gươm	
及 乎 事 濟 君	Đến khi xong việc vua	
臣 略 無 一 毫 矜 誇 固 無 間 然 矣	Tôi không một chút khoe khoang cố nhiên là không có gì đáng chê	
至 於 未 踰 年 而 改 元 則 不 容 不 議	Còn như việc chưa qua năm đã đổi niên hiệu thì không thể không bàn đến được	
春 秋 之 法 君 薨 嗣 君 定 位 於 初 䘮 踰 年 然 後 改 元	Theo phép kinh Xuân thu thì khi vua cũ mất vua nối lên ngôi ngay khi bắt đầu phát tang qua năm ấy rồi mới đổi niên hiệu	
書 即 位 者 綠 始 終 之 義 一 年 不 二 君 綠 臣 民 之 心 不 可 曠 年 無 君 禮 也	Chép việc lên ngôi theo nghĩa trước sau thì một năm không thể có hai vua được theo lòng thần dân thì không thể bỏ trống một năm không có vua Đó là lễ vậy	
太 宗 乃 冒 先 君 之 年 以 紀 年 何 哉 夫 甲 子 流 年 天 之 運 也	Thái Tông lại mạo nhận năm ở ngôi của tiên đế mà đặt niên hiệu là thế nào Phàm năm này sang năm khác theo can chi là sự chuyển vận của trời	
人 君 法 天 因 甲 子 之 運 行 紀 在 位 之 久 近 從 古 已 然	Người làm vua theo phép trời nhân sự vận hành của can chi mà chép năm ở ngôi lâu hay chóng từ xưa đã như thế	
帝 精 於 禮 樂 書 數 曾 不 是 考 而 叙 擾 之 遂 使 後 世 襲 為 故 事 踵 而 行 之 其 失 大 矣	Vua Thái Tông tinh thông lễ nhạc thư số lại không xét việc ấy mà làm rối để cho đời sau noi theo việc cũ nối gót mà làm ấy là lỗi lớn vậy	
己 亥 太 子 佛 瑪 即 位 於 柩 前	Ngày Kỷ Hợi Thái tử Phật Mã lên ngôi trước linh cữu	
尊 母 黎 氏 曰 靈 顯	Tôn mẹ là Lê thị làm Linh Hiển	
太 后	Thái hậu	
大 赦	Đại xá	
改 元 天 成 元 年	Đổi niên hiệu là Thiên Thành năm thứ một	
是 日 東 征 翊 聖 二 王 詣 闕 伏 罪	Ngày ấy hai vương Đông Chinh và Dực Thánh đến cửa khuyết xin chịu tội	
詔 免 之 復 其 爵	Xuống chiếu tha cho lại cho tước như cũ	
群 臣 上 尊 號 曰 開 天 綂 運 尊 道 貴 德 聖 文 廣 武 崇 仁 尚 善 政 理 民 安 臣 符 龍 見 体 元 御 極 億 歲 功 髙 應 真 寶 曆 松 玄 至 奧 興 龍 大 定 囱 明 慈 孝 皇 帝	Bầy tôi dâng tôn hiệu là Khai Thiên Thống Vận Tôn Đạo Quý Đức Thánh Văn Quảng Vũ Sùng Nhân Thượng Thiện Chính Lý Dân An Thần Phù Long Hiện Thể Nguyên Ngự Cực Ức Tuế Công Cao Ứng Chân Bảo Lịch Thông Huyền Chí Áo Hưng Long Đại Địch Thông Minh Từ Hiếu Hoàng Đế	
帝 以 新 即 位 詔 大 府 錢 帛 頒 賜 天 下 庚 申 十 五 日 也	Vua nhận việc mời lên ngôi xuống chiếu cho lấy tiền lụa ở kho lớn ban cho thiên hạ ngày mười năm Canh Thân	
開 國 王 叛	Khai Quốc Vương làm phản	
初 王 居 長 安 府 以 山 川 險 固 因 聚 亡 命 刼 掠 小 民 太 祖 終 不 之 知 遂 養 成 其 惡	Trước vương đóng ở phủ Trường Yên cậy có núi sông hiểm trở tụ tập những kẻ trốn tránh cướp bóc dân mọn Thái Tổ không hề hay biết nuôi thành tội ác	
及 聞 太 祖 崩 武 德 王 被 誅 意 愈 不 平 乃 率 府 兵 叛	Đến khi nghe Thái Tổ băng Vũ Đức Vương bị giết lòng càng bất bình bèn đem phủ binh làm phản	
封 銅 皷 山 神 以 王 爵 立 廟 時 祭 仍	Phong tước vương cho thần núi Đồng Cổ dựng miếu để tuế thời cúng tế và	
行 盟 禮	làm lễ thề	
先 是 三 王 叛 前 一 日 帝 夢 見 稱 銅 皷 山 神 語 帝 以 武 德 東 征 翊 聖 三 王 作 亂 速 調 兵 討 之	Trước đây một hôm trước khi ba vương làm phản vua chiêm bao thấy một người tự xưng là thần núi Đồng Cổ nói với vua về việc ba vương Vũ Đức Đông Chinh Dực Thánh làm loạn phải mau đem quân dẹp ngay	
及 即 令 警 備 果 驗	Tỉnh dậy liền sai phòng bị quả nhiên ứng nghiệm	
至 是 詔 有 司 立 廟 於 大 羅 城 右 伴 聖 壽 寺 後 以 是 月 二 十 五 日 於 廟 中 築 張 旗 幟 整 隊 伍 懸 劎 㦸 於 神 位 前 讀 誓 書 曰 為 子 不 孝 為 臣 不 忠 神 明 殛 之	Đến đây xuống chiếu giao cho Hữu ty dựng miếu ở bên hữu thành Đại La sau chùa Thánh Thọ lấy ngày hai mươi năm tháng ấy đắp đàn ở trong miếu cắm cờ xí chỉnh đốn đội ngũ treo gươm giáo ở trước thần vị đọc lời thề rằng Làm con bất hiếu làm tôi bất trung xin thần minh giết chết	
群 臣 自 東 門 入 過 神 位 飲 血 每 歲 以 為 常	Các quan từ cửa đông đi vào đến trước thần vị cùng uống máu ăn thề hàng năm lấy làm lệ thường	
後 遇 三 月 有 國 忌 展 至 四 月 四 日	Sau vì tháng ba có ngày quốc kỵ chuyển sang mồng bốn tháng bốn	
复 四 月 帝 親 征 長 安 府 以 内 侍 李 仁 義 留 守 京 師	Mùa hạ tháng bốn vua thân đi đánh phủ Trường Yên cho nội thị Lý Nhân Nghĩa ở lại giữ Kinh sư	
壬 申 至 長 安	Ngày Nhâm Thân đến Trường Yên	
是 日 開 國 王 降	Ngày ấy Khai Quốc Vương đầu hàng	
下 令 曰 敢 有 虜 掠 小	Vua hạ lệnh rằng Ai cướp bóc của cải của	
民 財 貨 者 斬	Ai cướp bóc tài sản của dân thì bị chém	
軍 士 然 秋 毫 無 犯	Quân sĩ nghiêm túc không có sự xâm phạm nào	
大 軍 入 長 安 城 城 中 民 餽 獻 牛 酒 者 填 路	Đại quân vào thành Trường Yên dân trong thành đem dâng biếu trâu rượu đứng đầy đường	
帝 遣 使 諭 旨 慰 勞 之 舉 城 大 悅	Vua sai sứ tuyên chỉ uỷ lạo cả thành vui to	
詔 徙 開 國 王 及 其 僚 屬 于 昇 龍 京 師	Xuống chiếu dời Khai Quốc Vương và các liêu thuộc của vương về kinh Thăng Long	
還 自 長 安 詔 免 開 國 王 罪 復 其 爵	Vua từ phủ Trường Yên về xuống chiếu tha tội cho Khai Quốc Vương vẫn cho tước như cũ	
五 月 六 日 神 人 見 迹 于 萬 歲 寺	Tháng năm ngày sáu có dấu vết của thần nhân hiện ra ở chùa Vạn Tuế	
群 臣 上 言 曰 太 子 天 下 之 本 本 立 則 天 下 安	Bầy tôi dâng lời nói Thái tử là gốc của thiên hạ gốc đứng thì thiên hạ yên	
願 陛 下 早 攑 賢 嗣 正 位 東 宫 以 慰 天 下 之 望	Xin bệ hạ sớm chọn con nối hiền lập ngôi Đông cung để thoả lòng mong của thiên hạ	
從 之 皇 子 日 尊 為 東 宫 太 子	Vua nghe theo phong hoàng tử Nhật Tôn làm Đông cung thái tử	
立 皇 后 七	Lập bảy hoàng hậu	
十 一 月 拜 枚 皇 后 父 祐 為 安 國 上 將 王 皇 后 父 杜 為 輔 國 上 將 丁 皇 后 父 吳 尚 為 匡 國 上 將	Tháng mười một cho cha của Mai hoàng hậu là Hựu làm An quốc thượng tướng cha của Vương hoàng hậu là Đỗ làm Phụ quốc thượng tướng cha của Đinh hoàng hậu là Ngô Thượng làm Khuông quốc thượng tướng	
史 臣 吳 士 連 曰 后 戚 之 貴 前 世 有 之 矣	Sử thần Ngô Sĩ Liên viết Quý tộc của hoàng hậu đời trước cũng đã có	
雖 以 其 戚 亦 以 其 才 也	Dù vậy không chỉ nhờ vào quan hệ mà còn nhờ vào tài năng	
祐 軰 果 才 耶 不 以 后 父 故 用 之 可 也	Bọn Hựu có thật tài năng không Có thể không dùng chỉ vì là cha của hoàng hậu	
不 才 耶 厚 之 以 禄 可 也 授 封 不 可 也	Nếu không có tài thì có thể dùng ân lộc nhưng không thể cấp phong tước	
或 曰 此 特 寵 之 以 爵 非 假 之 以 權	Có người nói Đây là đặc ân chỉ cấp tước không phải trao quyền lực	
曰 爵 之 既 髙 矣 安 有 安 國 輔 國 匡 國 上 將 軍 之 號 而 濫 及 無 功 者 哉	Trả lời rằng Các tước hiệu đã cao rồi sao lại có danh hiệu An quốc Phụ quốc Khuông quốc thượng tướng quân mà lại cấp cho kẻ không có công lao	
以 梁 任 文 為 太 師 吳 上 丁 為 太 傅 陶 處 中 為 太 保 李 道 紀 為 左 摳 密 李 徹 為 少 師 冲 新 為 右 摳 密 李 密 為 左 參 知 政 事 矯 蓬 為 右 參 知 政 事 廖 嘉 貞	Lấy Lương Nhậm Văn làm Thái sư Ngô Thượng Đinh làm Thái phó Đào Xử Trung làm Thái bảo Lý Đạo Kỷ làm Tả khu mật Lý Triệt làm Thiếu sư Xung Tân làm Hữu khu mật Lý Mật làm Tả tham tri chính sự Kiểu Bồng làm Hữu tham tri chính sự Liêu Gia Trinh	
為 中 書 侍 郎 何 遠 為 左 諫 議 大 夫 杜 為 右 諫 議 大 夫 阮 光 利 為 太 尉 譚 碎 狀 為 都 綂 武 波 斯 為 威 衛 上 將 阮 慶 為 定 勝 大 將 陶 文 雷 為 左 腹 心 李 仁 義 為 右 腹 心 潘 唐 烈 為 内 侍	Làm Trung thư thị lang Hà Viễn làm Tả gián nghị đại phu Đỗ Sấm làm Hữu gián nghị đại phu Nguyễn Quang Lợi làm Thái uý Đàm Toái Trang làm Đô thống Vũ Ba Tu làm Uy vệ thượng tướng Nguyễn Khánh làm Định thắng đại tướng Đào Văn Lôi làm Tả phúc tâm Lý Nhân Nghĩa làm Hữu phúc tâm Phan Đường Liệt làm Nội thị	
置 僧 道 陛 品	Đặt các cấp bậc của tăng đạo	
置 殿 前 禁 軍 十 衛 一 曰 廣 聖 二 曰 廣 武 三 曰 衛 龍 四 曰 捧 日 五 曰 澄 海	Đặt mười vệ điện tiền cấm quân một Quảng Thánh hai Quảng Vũ ba Ngự Long bốn Bổng Nhật năm Trừng Hải	
每 衛 各 分 為 左 右 直 周 廬 環 衛 于 禁 城 之 内 緫 謂 之 十 衛	Mỗi vệ đều chia ra tả hữu trực đi quanh để bảo vệ bên trong cấm thành tổng cộng là mười vệ	
六 月 以 誕 日 為 天 聖 節	Tháng sáu lấy ngày sinh của vua làm tiết Thiên Thánh	
以 竹 作 萬 歲 南 山 于 龍 墀 其 制 為 五 峯 中 峰 頂 立 長 壽 山 左 右 四 峯 頂 皆 置 白 鶴 山 山 上 作 鳥 獸	Lấy tre làm núi Vạn Tuế Nam Sơn ở Long trì kiểu núi làm thành năm ngọn trên đỉnh ngọn ở giữa dựng núi Trường Thọ bên đỉnh bốn ngọn xung quanh đều đặt núi Bạch Hạc trên núi làm hình dạng các giống chim bay	
走 之 狀 山 腰 又 有 神 龍 蟠 繞 間 植 旌 旗 錯 懸 金 璧 使 伶 人 於 巖 中 弄 笛 吹 笙 獸 奏 舞 為 娛 樂 賜 群 臣 宴	Thú chạy lưng chừng núi có rồng thần cuốn quanh cắm xen các thứ cờ treo lẫn vàng ngọc sai con hát thổi sáo thổi kèn trong hang núi dâng ca tấu múa làm vui cho các quan ăn yến	
五 峯 之 制 自 此 始	Quy chế núi năm ngọn bắt đầu từ đấy	
史 臣 吳 士 連 曰 誕 辰 慶 賀 大 禮 也	Sử thần Ngô Sĩ Liên nói Mừng ngày sinh là lễ lớn	
臣 祝 其 君 君 宴 其 臣 君 臣 和 合 以 通 上 下 之 情 禮 固 宜 然	Bề tôi chúc mừng vua vua ban yến cho bề tôi vua tôi hoà hợp để thông tình trên dưới lễ vốn nên như thế	
顧 帝 當 䘮 而 極 心 目 之 娛 曾 不 念 及 先 帝 之 未 塟 乎 惸 惸 在 疚 心 盖 如 也	Song vua đương để tang mà vui chơi hết mức không nghĩ đến việc tiên đế chưa chôn sao Cái lòng đau đớn thương xót có lẽ không còn gì	
