cn,sv,vi
長春,Trường Xuân,Trường Xuân
大行皇,Đại Hành Hoàng,Đại Hành Hoàng
長安州,Trường An Châu,Trường An Châu
陵按,Lăng Án,Lăng Án
丙午,Bính Ngọ,Bính Ngọ
黎卧朝,Lê Ngoạ Triều,Lê Ngoạ Triều
黎文休,Lê Văn Hưu,Lê Văn Hưu
黎文休,Lê Văn Hưu,Lê Văn Hưu
天,Thiên,Thiên
皇,Hoàng,Hoàng
陵,Lăng,Lăng
大行皇,Đại Hành Hoàng,Đại Hành Hoàng
大行皇,Đại Hành Hoàng,Đại Hành Hoàng
皇,Hoàng,Hoàng
皇后,Hoàng Hậu,Hoàng Hậu
大行,Đại Hành,Đại Hành
黎大行,Lê Đại Hành,Lê Đại Hành
大行,Đại Hành,Đại Hành
盖,Cái,Cái
卧朝,Ngoạ Triều,Ngoạ Triều
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
帝,Đế,Đế
占城,Chiêm Thành,Chiêm Thành
藩夷,Phiên Di,Phiên Di
趙宋,Triệu Tống,Triệu Tống
副,Phó,Phó
佃匐,Điền Bặc,Điền Bặc
巨俩,Cự Lạng,Cự Lạng
李祖,Lí Tổ,Lí Tổ
文休,Văn Hưu,Văn Hưu
李,Lí,Lí
黎,Lê,Lê
中宗皇帝,Trung Tông Hoàng Đế,Trung Tông Hoàng Đế
諱龍鉞大行,Huý Long Việt Đại Hành,Huý Long Việt Đại Hành
祇候妙女,Chi Hầu Diệu Nữ,Chi Hầu Diệu Nữ
龍鋌,Long Đĩnh,Long Đĩnh
帝,Đế,Đế
大行皇帝,Đại Hành Hoàng Đế,Đại Hành Hoàng Đế
帝,Đế,Đế
東城中國,Đông Thành Trung Quốc,Đông Thành Trung Quốc
開明王,Khai Minh Vương,Khai Minh Vương
東城王,Đông Thành Vương,Đông Thành Vương
筥隆,Cử Long,Cử Long
占城,Chiêm Thành,Chiêm Thành
石河,Thạch Hà,Thạch Hà
機羅,Cơ La,Cơ La
今奇羅,Kim Kì La,Kim Kì La
北,Bắc,Bắc
龍鋌,Long Đĩnh,Long Đĩnh
殿,Điện,Điện
李公藴,Lí Công Uẩn,Lí Công Uẩn
龍鋌,Long Đĩnh,Long Đĩnh
中宗皇帝,Trung Tông Hoàng Đế,Trung Tông Hoàng Đế
公藴四,Công Uẩn Tứ,Công Uẩn Tứ
黎文休,Lê Văn Hưu,Lê Văn Hưu
卧朝,Ngoạ Triều,Ngoạ Triều
黎,Lê,Lê
大行,Đại Hành,Đại Hành
中宗,Trung Tông,Trung Tông
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
野,Dã,Dã
大行,Đại Hành,Đại Hành
中宗,Trung Tông,Trung Tông
龍鋌,Long Đĩnh,Long Đĩnh
中宗,Trung Tông,Trung Tông
後龍鋌,Hậu Long Đĩnh,Hậu Long Đĩnh
中宗,Trung Tông,Trung Tông
則中宗,Tắc Trung Tông,Tắc Trung Tông
斯,Tư,Tư
中宗,Trung Tông,Trung Tông
𬋩叔叔牙,Quản Thúc Thúc Nha,Quản Thúc Thúc Nha
宗,Tông,Tông
中宗,Trung Tông,Trung Tông
卧朝,Ngoạ Triều,Ngoạ Triều
故,Cố,Cố
卧朝皇帝,Ngoạ Triều Hoàng Đế,Ngoạ Triều Hoàng Đế
諱龍鋌,Huý Long Đĩnh,Huý Long Đĩnh
至忠大行,Chí Trung Đại Hành,Chí Trung Đại Hành
帝,Đế,Đế
開天應運聖文神武則天崇道,Khai Thiên Ứng Vận Thánh Văn Thần Vũ Tắc Thiên Sùng Đạo,Khai Thiên Ứng Vận Thánh Văn Thần Vũ Tắc Thiên Sùng Đạo
大勝明光孝皇帝,Đại Thắng Minh Quang Hiếu Hoàng Đế,Đại Thắng Minh Quang Hiếu Hoàng Đế
興國廣聖皇太后,Hưng Quốc Quảng Thánh Hoàng Thái Hậu,Hưng Quốc Quảng Thánh Hoàng Thái Hậu
禦北王,Ngự Bắc Vương,Ngự Bắc Vương
中國王,Trung Quốc Vương,Trung Quốc Vương
扶蘭,Phù Lan,Phù Lan
至藤州𬋩甲杜市,Chí Đằng Châu Quản Giáp Đỗ Thị,Chí Đằng Châu Quản Giáp Đỗ Thị
黎翕尼,Lê Hấp Ni,Lê Hấp Ni
翕尼,Hấp Ni,Hấp Ni
至扶蘭,Chí Phù Lan,Chí Phù Lan
禦北王,Ngự Bắc Vương,Ngự Bắc Vương
中國王,Trung Quốc Vương,Trung Quốc Vương
禦北王,Ngự Bắc Vương,Ngự Bắc Vương
禦蛮王,Ngự Man Vương,Ngự Man Vương
峰州,Phong Châu,Phong Châu
藤州,Đằng Châu,Đằng Châu
太平,Thái Bình,Thái Bình
扶蘭,Phù Lan,Phù Lan
举隆,Cử Long,Cử Long
神,Thần,Thần
即神符,Tức Thần Phù,Tức Thần Phù
還,Hoàn,Hoàn
󰱕音貪,Tham Âm Tham,Tham Âm Tham
愛州,Ái Châu,Ái Châu
筥隆,Cử Long,Cử Long
丙午,Bính Ngọ,Bính Ngọ
帝,Đế,Đế
應天,Ứng Thiên,Ứng Thiên
宋景德,Tống Cảnh Đức,Tống Cảnh Đức
乍,Sạ,Sạ
開封王,Khai Phong Vương,Khai Phong Vương
紹理,Thiệu Lí,Thiệu Lí
楚王,Sở Vương,Sở Vương
紹勳,Thiệu Huân,Thiệu Huân
漢王,Hán Vương,Hán Vương
宋,Tống,Tống
行軍王明提,Hành Quân Vương Minh Đề,Hành Quân Vương Minh Đề
廣州知州高日,Quảng Châu Tri Châu Cao Nhật,Quảng Châu Tri Châu Cao Nhật
宋知廣州凌策,Tống Tri Quảng Châu Lăng Sách,Tống Tri Quảng Châu Lăng Sách
今,Kim,Kim
交趾,Giao Chỉ,Giao Chỉ
沿,Duyên,Duyên
安,An,An
卲曄,Thiệu Việp,Thiệu Việp
廉州,Liêm Châu,Liêm Châu
交趾皇慶集,Giao Chỉ Hoàng Khánh Tập,Giao Chỉ Hoàng Khánh Tập
南平王,Nam Bình Vương,Nam Bình Vương
慶集,Khánh Tập,Khánh Tập
若朝,Nhược Triều,Nhược Triều
廣南,Quảng Nam,Quảng Nam
荆湖,Kinh Hồ,Kinh Hồ
黎,Lê,Lê
王,Vương,Vương
詔策,Chiếu Sách,Chiếu Sách
曄,Việp,Việp
黎,Lê,Lê
曄,Việp,Việp
明提,Minh Đề,Minh Đề
明提,Minh Đề,Minh Đề
曄,Việp,Việp
越,Việt,Việt
邕州,Ung Châu,Ung Châu
交州,Giao Châu,Giao Châu
交州,Giao Châu,Giao Châu
丙午,Bính Ngọ,Bính Ngọ
渭龍,Vị Long,Vị Long
今大蛮,Kim Đại Man,Kim Đại Man
丁未,Đinh Mùi,Đinh Mùi
帝,Đế,Đế
應天,Ứng Thiên,Ứng Thiên
宋景德,Tống Cảnh Đức,Tống Cảnh Đức
明昶掌,Minh Xưởng Chưởng,Minh Xưởng Chưởng
皇成雅,Hoàng Thành Nhã,Hoàng Thành Nhã
宋,Tống,Tống
大,Đại,Đại
宋,Tống,Tống
交趾郡王,Giao Chỉ Quận Vương,Giao Chỉ Quận Vương
靜海,Tĩnh Hải,Tĩnh Hải
節,Tiết,Tiết
至忠,Chí Trung,Chí Trung
明厂成雅,Minh Xưởng Thành Nhã,Minh Xưởng Thành Nhã
交趾郡王,Giao Chỉ Quận Vương,Giao Chỉ Quận Vương
廣南,Quảng Nam,Quảng Nam
戊申景瑞,Mậu Thân Cảnh Thuỵ,Mậu Thân Cảnh Thuỵ
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
封感聖皇后,Phong Cảm Thánh Hoàng Hậu,Phong Cảm Thánh Hoàng Hậu
黎偓佺,Lê Ác Thuyên,Lê Ác Thuyên
三一,Tam Nhất,Tam Nhất
原王,Nguyên Vương,Nguyên Vương
都良謂龍,Đô Lương Vị Long,Đô Lương Vị Long
蛮,Man,Man
大行,Đại Hành,Đại Hành
驩州,Hoan Châu,Hoan Châu
千柳,Thiên Liễu,Thiên Liễu
己酉,Kỉ Dậu,Kỉ Dậu
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
春明昶,Xuân Minh Xưởng,Xuân Minh Xưởng
宋,Tống,Tống
大藏,Đại Tạng,Đại Tạng
宋,Tống,Tống
萧,Tiêu,Tiêu
宋,Tống,Tống
犀,Tê,Tê
宋,Tống,Tống
邕州,Ung Châu,Ung Châu
廉州,Liêm Châu,Liêm Châu
洪,Hồng,Hồng
矯,Kiểu,Kiểu
愛州,Ái Châu,Ái Châu
隆,Long,Long
頂山,Đỉnh Sơn,Đỉnh Sơn
武瀧,Vũ Lung,Vũ Lung
愛州,Ái Châu,Ái Châu
武瀧,Vũ Lung,Vũ Lung
武瀧拔渠洞瀧,Vũ Lung Bạt Cừ Động Lung,Vũ Lung Bạt Cừ Động Lung
驩唐石河,Hoan Đường Thạch Hà,Hoan Đường Thạch Hà
至環江,Chí Hoàn Giang,Chí Hoàn Giang
防遏,Phòng Át,Phòng Át
胡守益,Hồ Thủ Ích,Hồ Thủ Ích
環唐,Hoan Đường,Hoan Đường
州夾,Châu Giáp,Châu Giáp
南界,Nam Giới,Nam Giới
環,Hoàn,Hoàn
宋,Tống,Tống
廖守心,Liêu Thủ Tâm,Liêu Thủ Tâm
守心,Thủ Tâm,Thủ Tâm
不,Bất,Bất
郭昂,Quách Ngang,Quách Ngang
辛亥,Tân Hợi,Tân Hợi
卧朝,Ngoạ Triều,Ngoạ Triều
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
夏桀,Hạ Kiệt,Hạ Kiệt
商紂,Thương Trụ,Thương Trụ
龍逄比干,Long Bàng Tỉ Can,Long Bàng Tỉ Can
吳孫皓,Ngô Tôn Hạo,Ngô Tôn Hạo
卧朝,Ngoạ Triều,Ngoạ Triều
蛮,Man,Man
又,Hựu,Hựu
中宗卧朝,Trung Tông Ngoạ Triều,Trung Tông Ngoạ Triều
史,Sử,Sử
夷狄,Di Địch,Di Địch
癸丑,Quý Sửu,Quý Sửu
李公藴,Lí Công Uẩn,Lí Công Uẩn
古法,Cổ Pháp,Cổ Pháp
延蕴,Diên Uẩn,Diên Uẩn
樹,Thụ,Thụ
木,Mộc,Mộc
十,Thập,Thập
僧萬行,Tăng Vạn Hạnh,Tăng Vạn Hạnh
樹,Thụ,Thụ
十,Thập,Thập
東阿,Đông A,Đông A
入,Nhập,Nhập
北,Bắc,Bắc
木,Mộc,Mộc
黎,Lê,Lê
東,Đông,Đông
兑西,Đoài Tây,Đoài Tây
黎,Lê,Lê
李,Lí,Lí
李公,Lí Công,Lí Công
近,Cận,Cận
李,Lí,Lí
李,Lí,Lí
親,Thân,Thân
公藴,Công Uẩn,Công Uẩn
萬行,Vạn Hạnh,Vạn Hạnh
蕉山,Tiêu Sơn,Tiêu Sơn
卧朝,Ngoạ Triều,Ngoạ Triều
李,Lí,Lí
公藴,Công Uẩn,Công Uẩn
及卧朝,Cập Ngoạ Triều,Cập Ngoạ Triều
公藴,Công Uẩn,Công Uẩn
右,Hữu,Hữu
阮低,Nguyễn Đê,Nguyễn Đê
時祇,Thời Chi,Thời Chi
陶甘沐,Đào Cam Mộc,Đào Cam Mộc
公藴,Công Uẩn,Công Uẩn
間,Gian,Gian
湯武,Thang Vũ,Thang Vũ
丁黎,Đinh Lê,Đinh Lê
公藴,Công Uẩn,Công Uẩn
公,Công,Công
甘沐,Cam Mộc,Cam Mộc
公藴曰甘木,Công Uẩn Viết Cam Mộc,Công Uẩn Viết Cam Mộc
公藴,Công Uẩn,Công Uẩn
吾,Ngô,Ngô
甘沐,Cam Mộc,Cam Mộc
公藴,Công Uẩn,Công Uẩn
國,Quốc,Quốc
李,Lí,Lí
親,Thân,Thân
公藴,Công Uẩn,Công Uẩn
吾,Ngô,Ngô
萬行,Vạn Hạnh,Vạn Hạnh
甘沐,Cam Mộc,Cam Mộc
親衛,Thân Vệ,Thân Vệ
親,Thân,Thân
甘沐,Cam Mộc,Cam Mộc
今,Kim,Kim
親衛,Thân Vệ,Thân Vệ
公藴,Công Uẩn,Công Uẩn
順天,Thuận Thiên,Thuận Thiên
奉天至理應運自在聖明龍見睿文英武崇仁廣孝天下太平欽明光宅章明萬󰘊顕應符感威震藩蛮睿,Phụng Thiên Chí Lí Ứng Vận Tự Tại Thánh Minh Long Kiến Duệ Văn Anh Vũ Sùng NHân Quảng Hiếu Thiên Hạ Thái Bình Khâm Minh Quang TRạch Chương Minh Vạn Bang Hiển Ứng Phù Cảm Uy Chấn Phiên Man Duệ,Phụng Thiên Chí Lí Ứng Vận Tự Tại Thánh Minh Long Kiến Duệ Văn Anh Vũ Sùng NHân Quảng Hiếu Thiên Hạ Thái Bình Khâm Minh Quang TRạch Chương Minh Vạn Bang Hiển Ứng Phù Cảm Uy Chấn Phiên Man Duệ
神助聖治則天道政皇帝,Thần Trợ Thánh Trị Tắc Thiên Đạo Chính Hoàng Đế,Thần Trợ Thánh Trị Tắc Thiên Đạo Chính Hoàng Đế
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
書,Thư,Thư
堯,Nghiêu,Nghiêu
放勳舜,Phóng Huân Thuấn,Phóng Huân Thuấn
重華,Trùng Hoa,Trùng Hoa
太祖,Thái Tổ,Thái Tổ
太宗,Thái Tông,Thái Tông
顯󰆑王,Hiển Khánh Vương,Hiển Khánh Vương
明德太后,Minh Đức Thái Hậu,Minh Đức Thái Hậu
黎文休,Lê Văn Hưu,Lê Văn Hưu
有周,Hữu Chu,Hữu Chu
大王王季,Thái Vương Vương Quý,Thái Vương Vương Quý
宋,Tống,Tống
僖祖翼祖,Hi Tổ Dực Tổ,Hi Tổ Dực Tổ
我李太祖,Ngã Lí Thái Tổ,Ngã Lí Thái Tổ
顯慶王,Hiển Khánh Vương,Hiển Khánh Vương
立皇,Lập Hoàng,Lập Hoàng
嫡,Đích,Đích
立教皇后,Lập Giáo Hoàng Hậu,Lập Giáo Hoàng Hậu
佛瑪,Phật Mã,Phật Mã
皇,Hoàng,Hoàng
安國,An Quốc,An Quốc
陶甘沐,Đào Cam Mộc,Đào Cam Mộc
義信,Nghĩa Tín,Nghĩa Tín
武威王,Vũ Uy Vương,Vũ Uy Vương
武道王武威王,Vũ Đạo Vương Vũ Uy Vương,Vũ Đạo Vương Vũ Uy Vương
徵顯,Trưng Hiển,Trưng Hiển
太,Thái,Thái
翊聖王,Dực Thánh Vương,Dực Thánh Vương
總,Tổng,Tổng
陳鎬,Trần Cảo,Trần Cảo
吳丁,Ngô Đinh,Ngô Đinh
陶碩輔,Đào Thạc Phụ,Đào Thạc Phụ
太,Thái,Thái
鄧文孝,Đặng Văn Hiếu,Đặng Văn Hiếu
太,Thái,Thái
費車磊,Phí Xa Lỗi,Phí Xa Lỗi
左,Tả,Tả
衛竹,Vệ Trúc,Vệ Trúc
有,Hữu,Hữu
譚坦,Đàm Thản,Đàm Thản
左,Tả,Tả
杜簡,Đỗ Giản,Đỗ Giản
有,Hữu,Hữu
右黎,Hữu Lê,Hữu Lê
辛巳,Tân Tị,Tân Tị
己酉,Kỷ Dậu,Kỷ Dậu
大越史記本己全書,Đại Việt Sử Ký Bản Kỷ Toàn Thư,Đại Việt Sử Ký Bản Kỷ Toàn Thư
大越史記本紀全書卷之二,Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhị,Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhị
李紀,Lí KỶ,Lí KỶ
太祖皇帝,Thái Tổ Hoàng Đế,Thái Tổ Hoàng Đế
姓李,Tính Lí,Tính Lí
公藴北江古法,Công Uẩn Bắc Giang Cổ Pháp,Công Uẩn Bắc Giang Cổ Pháp
其,Kì,Kì
范,Phạm,Phạm
焦山,Tiêu Sơn,Tiêu Sơn
丁太平,Đinh Thái Bình,Đinh Thái Bình
甲戌,Giáp Tuất,Giáp Tuất
黎,Lê,Lê
殿,Điện,Điện
卧朝,Ngoạ Triều,Ngoạ Triều
昇龍,Thăng Long,Thăng Long
在,Tại,Tại
龍安,Long An,Long An
壽陵,Thọ Lăng,Thọ Lăng
???????????帝,UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK Đế,UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK Đế
?,UNK,UNK
然,Nhiên,Nhiên
帝,Đế,Đế
李󰆑文,Lí Khánh Văn,Lí Khánh Văn
󰆑文,Khánh Văn,Khánh Văn
六祖,Lục Tổ,Lục Tổ
萬行,Vạn Hạnh,Vạn Hạnh
此,Thử,Thử
應天,Ứng Thiên,Ứng Thiên
黎中宗,Lê Trung Tông,Lê Trung Tông
大行,Đại Hành,Đại Hành
中宗,Trung Tông,Trung Tông
卧朝,Ngoạ Triều,Ngoạ Triều
四,Tứ,Tứ
左,Tả,Tả
及卧,Cập Ngoạ,Cập Ngoạ
順天,Thuận Thiên,Thuận Thiên
初古法,Sơ Cổ Pháp,Sơ Cổ Pháp
應天心,Ứng Thiên Tâm,Ứng Thiên Tâm
感選,Cảm Tuyển,Cảm Tuyển
天,Thiên,Thiên
戌,Tuất,Tuất
天,Thiên,Thiên
帝,Đế,Đế
甲戌,Giáp Tuất,Giáp Tuất
天,Thiên,Thiên
庚戌順天,Canh Tuất Thuận Thiên,Canh Tuất Thuận Thiên
宋大中符,Tống Đại Trung Phù,Tống Đại Trung Phù
祥春,Tường Xuân,Tường Xuân
古法,Cổ Pháp,Cổ Pháp
遣員,Khiển Viên,Khiển Viên
梁任文黎再嚴,Lương Nhậm Văn Lê Tái Nghiêm,Lương Nhậm Văn Lê Tái Nghiêm
宋,Tống,Tống
華閭,Hoa Lư,Hoa Lư
帝,Đế,Đế
昔商,Tích Thương,Tích Thương
盤庚,Bàn Canh,Bàn Canh
周,Chu,Chu
成王,Thành Vương,Thành Vương
而丁黎,Nhi Đinh Lê,Nhi Đinh Lê
商周,Thương Chu,Thương Chu
况髙王,Huống Cao Vương,Huống Cao Vương
大羅,Đại La,Đại La
南北東西,Nam Bắc Đông Tây,Nam Bắc Đông Tây
越,Việt,Việt
陛,Bệ,Bệ
帝,Đế,Đế
華閭,Hoa Lư,Hoa Lư
大羅,Đại La,Đại La
昇龍,Thăng Long,Thăng Long
古法,Cổ Pháp,Cổ Pháp
天德,Thiên Đức,Thiên Đức
華閭,Hoa Lư,Hoa Lư
長安,Trường Yên,Trường Yên
北江,Bắc Giang,Bắc Giang
天德,Thiên Đức,Thiên Đức
天德,Thiên Đức,Thiên Đức
昇龍,Thăng Long,Thăng Long
乾元,Càn Nguyên,Càn Nguyên
集賢,Tập Hiền,Tập Hiền
講武,Giảng Võ,Giảng Võ
飛龍,Phi Long,Phi Long
迎春,Nghênh Xuân,Nghênh Xuân
丹鳳,Đan Phượng,Đan Phượng
威遠,Uy Viễn,Uy Viễn
髙明,Cao Minh,Cao Minh
乾元,Càn Nguyên,Càn Nguyên
龍安龍瑞,Long An Long Thuỵ,Long An Long Thuỵ
日光,Nhật Quang,Nhật Quang
月明,Nguyệt Minh,Nguyệt Minh
翠華龍瑞,Thuý Hoa Long Thuỵ,Thuý Hoa Long Thuỵ
東,Đông,Đông
祥符西,Tường Phù Tây,Tường Phù Tây
廣福南,Quảng Phúc Nam,Quảng Phúc Nam
大興北,Đại Hưng Bắc,Đại Hưng Bắc
耀德,Diệu Đức,Diệu Đức
興天,Hưng Thiên,Hưng Thiên
嚴寺,Thắng Nghiêm,Thắng Nghiêm
黎文休,Lê Văn Hưu,Lê Văn Hưu
李太祖,Lí Thái Tổ,Lí Thái Tổ
天德,Thiên Đức,Thiên Đức
浚,Tuấn,Tuấn
創,Sáng,Sáng
太,Thái,Thái
翠華,Thuý Hoa,Thuý Hoa
賜卧朝,Tứ Ngoạ Triều,Tứ Ngoạ Triều
蠻,Man,Man
放驩州南界石河,Phóng Hoan Châu Nam Giới Thạch Hà,Phóng Hoan Châu Nam Giới Thạch Hà
交趾,Giao Chỉ,Giao Chỉ
靜海,Tĩnh Hải,Tĩnh Hải
節,Tiết,Tiết
愛州驩州,Ái Châu Hoan Châu,Ái Châu Hoan Châu
大教,Đại Giáo,Đại Giáo
辛亥,Tân Hợi,Tân Hợi
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
愛州筥隆,Ái Châu Cử Long,Ái Châu Cử Long
丁黎,Đinh Lê,Đinh Lê
李仁義陶慶文,Lí Nhân Nghĩa Đào Khánh Văn,Lí Nhân Nghĩa Đào Khánh Văn
宋,Tống,Tống
慶文,Khánh Văn,Khánh Văn
宋宋,Tống Tống,Tống Tống
占城,Chiêm Thành,Chiêm Thành
大清,Đại Thanh,Đại Thanh
萬歳,Vạn Tuế,Vạn Tuế
鎮福,Trấn Phúc,Trấn Phúc
四大天王,Tứ Đại Thiên Vương,Tứ Đại Thiên Vương
衣龍興聖壽寺,Cẩm Y Long Hưng Thánh Thọ,Cẩm Y Long Hưng Thánh Thọ
盧江,Lô Giang,Lô Giang
含光,Hàm Quang,Hàm Quang
壬子,Nhâm Tí,Nhâm Tí
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
龍安龍瑞,Long An Long Thuỵ,Long An Long Thuỵ
󰀋皇,Sách Hoàng,Sách Hoàng
佛瑪,Phật Mã,Phật Mã
開天,Khai Thiên,Khai Thiên
龍德,Long Đức,Long Đức
含光,Hàm Quang,Hàm Quang
太,Thái,Thái
陶碩輔員,Đào Thạc Phụ Viên,Đào Thạc Phụ Viên
吳壤,Ngô Nhưỡng,Ngô Nhưỡng
宋,Tống,Tống
冬南,Đông Nam,Đông Nam
真躐,Chân Lạp,Chân Lạp
演州,Diễn Châu,Diễn Châu
汴灣,Biện Loan,Biện Loan
自,Tự,Tự
演州,Diễn Châu,Diễn Châu
上,Thượng,Thượng
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
湯,Thang,Thang
白龍,Bạch Long,Bạch Long
蠻,Man,Man
金華,Kim Hoa,Kim Hoa
渭龍,Vị Long,Vị Long
蠻,Man,Man
癸丑,Quý Sửu,Quý Sửu
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
菩,Bồ,Bồ
開國,Khai Quốc,Khai Quốc
長安,Trường An,Trường An
含光,Hàm Quang,Hàm Quang
渭龍,Vị Long,Vị Long
蠻,Man,Man
何晏俊,Hà Án Tuấn,Hà Án Tuấn
甲寅,Giáp Dần,Giáp Dần
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
蠻,Man,Man
楊長惠段敬至,Dương Trường Huệ Đoàn Kính Chí,Dương Trường Huệ Đoàn Kính Chí
蠻,Man,Man
金華,Kim Hoa,Kim Hoa
五花,Ngũ Hoa,Ngũ Hoa
平林,Bình Lâm,Bình Lâm
黃恩榮,Hoàng Ân Vinh,Hoàng Ân Vinh
翊聖,Dực Thánh,Dực Thánh
詔員,Chiếu Viên,Chiếu Viên
馮真李碩,Phùng Chân Lí Thạc,Phùng Chân Lí Thạc
蠻,Man,Man
宋,Tống,Tống
崇德,Sùng Đức,Sùng Đức
驩州,Hoan Châu,Hoan Châu
右,Hữu,Hữu
沈文苑,Thẩm Văn Uyển,Thẩm Văn Uyển
萬歲,Vạn Tuế,Vạn Tuế
興天,Hưng Thiên,Hưng Thiên
真臘,Chân Lạp,Chân Lạp
勝嚴,Thắng Nghiêm,Thắng Nghiêm
五鳳,Ngũ Phụng,Ngũ Phụng
築昇龍,Trúc Thăng Long,Trúc Thăng Long
改應天,Cải Ứng Thiên,Cải Ứng Thiên
南京乙卯,Nam Kinh Ất Mão,Nam Kinh Ất Mão
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
鄭文秀,Trịnh Văn Tú,Trịnh Văn Tú
少,Thiếu,Thiếu
陶甘沐,Đào Cam Mộc,Đào Cam Mộc
太,Thái,Thái
太平,Thái Bình,Thái Bình
齊聖,Tề Thánh,Tề Thánh
舍,Xá,Xá
詔翊聖王武德王,Chiếu Dực Thánh Vương Vũ Đức Vương,Chiếu Dực Thánh Vương Vũ Đức Vương
都金渭龍常,Đô Kim Vị Long Thường,Đô Kim Vị Long Thường
新平原,Tân Bình Nguyên,Tân Bình Nguyên
何晏俊,Hà Án Tuấn,Hà Án Tuấn
東,Đông,Đông
丙辰,Bính Thìn,Bính Thìn
宋大中祥符,Tống Đại Trung Tường Phù,Tống Đại Trung Tường Phù
佐國,Tá Quốc,Tá Quốc
立元,Lập Nguyên,Lập Nguyên
立教,Lập Giáo,Lập Giáo
起天光天德,Khởi Thiên Quang Thiên Đức,Khởi Thiên Quang Thiên Đức
古所,Cổ Sở,Cổ Sở
朕,Trẫm,Trẫm
臣,Thần,Thần
李,Lí,Lí
服蠻,Phục Man,Phục Man
南帝,Nam Đế,Nam Đế
杜洞唐林,Đỗ Động Đường Lâm,Đỗ Động Đường Lâm
夷獠,Di Lạo,Di Lạo
是,Thị,Thị
夷盧,Di Lô,Di Lô
既,Ký,Ký
天,Thiên,Thiên
陳元豊,Trần Nguyên Phong,Trần Nguyên Phong
韃靼,Thát Đát,Thát Đát
重興,Trùng Hưng,Trùng Hưng
帝,Đế,Đế
南平王,Nam Bình Vương,Nam Bình Vương
丁巳,Đinh Tị,Đinh Tị
宋天禧,Tống Thiên Hi,Tống Thiên Hi
陳文秀,Trần Văn Tú,Trần Văn Tú
太傅,Thái Phó,Thái Phó
乾元,Càn Nguyên,Càn Nguyên
戊戌,Mậu Tuất,Mậu Tuất
宋天禧,Tống Thiên Hi,Tống Thiên Hi
后,Hậu,Hậu
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
帝,Đế,Đế
阮道清笵鶴,Nguyễn Đạo Thanh Phạm Hạc,Nguyễn Đạo Thanh Phạm Hạc
宋,Tống,Tống
三藏,Tam Tạng,Tam Tạng
力,Lực,Lực
東征王,Đông Chinh Vương,Đông Chinh Vương
己未,Kỉ Mùi,Kỉ Mùi
宋天禧,Tống Thiên Hi,Tống Thiên Hi
天德,Thiên Đức,Thiên Đức
太廟,Thái Miếu,Thái Miếu
庚申,Canh Thân,Canh Thân
宋天禧,Tống Thiên Hi,Tống Thiên Hi
真臘,Chân Lạp,Chân Lạp
阮道清,Nguyễn Đạo Thanh,Nguyễn Đạo Thanh
三藏,Tam Tạng,Tam Tạng
僧,Tăng,Tăng
費智,Phí Trí,Phí Trí
廣州,Quảng Châu,Quảng Châu
開天王,Khai Thiên Vương,Khai Thiên Vương
陶碩輔,Đào Thạc Phụ,Đào Thạc Phụ
占城,Chiêm Thành,Chiêm Thành
布政,Bố Chính,Bố Chính
龍鼻,Long Tị,Long Tị
布令,Bố Linh,Bố Linh
占,Chiêm,Chiêm
東,Đông,Đông
西,Tây,Tây
辛酉,Tân Dậu,Tân Dậu
宋天禧,Tống Thiên Hi,Tống Thiên Hi
天成,Thiên Thành,Thiên Thành
萬壽南山,Vạn Thọ Nam Sơn,Vạn Thọ Nam Sơn
廣福,Quảng Phúc,Quảng Phúc
遣員,Khiển Viên,Khiển Viên
阮寬泰阮守疆,Nguyễn Khoan Thái Nguyễn Thủ Cương,Nguyễn Khoan Thái Nguyễn Thủ Cương
宋,Tống,Tống
起八角,Khởi Bát Giác,Khởi Bát Giác
壬戌,Nhâm Tuất,Nhâm Tuất
宋乾興,Tống Càn Hưng,Tống Càn Hưng
帝,Đế,Đế
天成,Thiên Thành,Thiên Thành
詔翊聖王,Chiếu Dực Thánh Vương,Chiếu Dực Thánh Vương
大元歴,Đại Nguyên Lịch,Đại Nguyên Lịch
王,Vương,Vương
宋,Tống,Tống
如洪,Như Hồng,Như Hồng
按宋如洪,Án Tống Như Hồng,Án Tống Như Hồng
潮陽,Triều Dương,Triều Dương
