cn,sv,entity_position,entities,entity_type
或曰脱有不諱父皇先崩危矣,Hoặc viết Thoát hữu bất huý phụ hoàng tiên băng nguy hĩ,(2: 3),Thoát,
曰諄勤於平日之訓明辨於遺詔之言擇社稷臣委以托孤之寄無憂也,Viết Truân cần ư bình nhật chi huấn minh biện ư di chiếu chi ngôn trạch xã tắc thần uỷ dĩ thác cô chi ký vô ưu dã,(0: 2),Viết Truân,
况明宗親履其事必能處之得其當,Huống Minh Tông thân lí kì sự tất năng xử chi đắc kì đương,(0: 3),Huống Minh Tông,
國瑱執一不通使奸臣乘之以嫁禍衮哉,Quốc Chẩn chấp nhất bất thông sử gian thần thừa chi dĩ giá hoạ cổn tai,(0: 2),Quốc Chẩn,
易曰親其會通以行其典禮國瑱盖未嘗聞然而其寃不可不白,Dịch viết Thân kì hội thông dĩ hành kì điển lễ Quốc Chẩn cái vị thường văn nhiên nhi kì oan bất khả bất bạch,"(2: 3), (11: 13)","Thân, Quốc Chẩn",
至於陳克終亦一時人物帝加之師保之位而問以國政固宜盡忠納誨俾其君為堯舜可也,Chí ư Trần Khắc Chung diệc nhất thời nhân vật Đế gia chi sư bảo chi vị nhi vấn dĩ quốc chính cố nghi tận trung nạp hối tỉ kì quân vi Nghiêu Thuấn khả dã,"(2: 5), (10: 11), (32: 34)","Trần Khắc Chung, Đế, Nghiêu Thuấn",
後又啓其君以邀功征占城逢迎之態又見矣,Hậu hựu khải kì quân dĩ yêu công chinh Chiêm Thành phùng nghênh chi thái hựu kiến hĩ,(9: 11),Chiêm Thành,
故人君之任賢必察焉者惧其有小人如克終軰或在其間也,Cố nhân quân chi nhiệm hiền tất sát yên Giả cụ kì hữu tiểu nhân như Khắc Chung bối hoặc tại kì gian dã,"(9: 10), (16: 18)","Giả, Khắc Chung",
立皇子旺為東宫太子,Lập Hoàng tử Vượng vi Đông cung thái tử,"(0: 2), (3: 4), (5: 6)","Lập Hoàng, Vượng, Đông",
封次子元晫為恭靖大王,Phong thứ tử Nguyên trác vi Cung Tịnh đại vương,"(3: 4), (6: 8)","Nguyên, Cung Tịnh",
己巳六年二月以後開祐元年,Kỉ Tị lục niên nhị nguyệt dĩ hậu Khai Hựu nguyên niên ,"(0: 2), (8: 10)","Kỉ Tị, Khai Hựu",
元大曆二年春二月七日󰀋東宫太子旺為皇太子,Nguyên Đại Lịch nhị niên xuân nhị nguyệt thất nhật sách Đông Cung thái tử Vượng vi Hoàng thái tử,"(0: 3), (11: 13), (15: 16), (17: 18)","Nguyên Đại Lịch, Đông Cung, Vượng, Hoàng",
旺即皇帝位改元開祐元年,Vượng tức Hoàng đế vị cải nguyên Khai Hựu nguyên niên,"(2: 3), (7: 9)","Hoàng, Khai Hựu",
稱哲皇,Xưng Triết Hoàng,(0: 3),Xưng Triết Hoàng,
尊上皇曰章堯文哲太上,Tôn Thượng hoàng viết Chương Nghiêu Văn Triết Thái thượng,"(0: 2), (4: 9)","Tôn Thượng, Chương Nghiêu Văn Triết Thái",
皇帝儷聖皇后為憲慈太上皇后,Hoàng Đế Lệ Thánh Hoàng hậu vi Hiến Từ Thái Thượng Hoàng Hậu,"(0: 5), (7: 13)","Hoàng Đế Lệ Thánh Hoàng, Hiến Từ Thái Thượng Hoàng Hậu",
憲一作惠群臣上尊號曰體元御極睿聖至孝皇帝,Hiến nhất tác Huệ Quần thần thượng tôn hiệu viết Thể Nguyên Ngự Cực Duệ Thánh Chí Hiếu Hoàng Đế ,"(3: 5), (10: 20)","Huệ Quần, Thể Nguyên Ngự Cực Duệ Thánh Chí Hiếu Hoàng Đế",
奉上皇居天長行宫諸皇子侍上皇,Phụng Thượng hoàng cư Thiên Trường hành cung Chư Hoàng tử thị Thượng hoàng,"(0: 2), (4: 6), (8: 10), (12: 13)","Phụng Thượng, Thiên Trường, Chư Hoàng, Thượng",
每論及本潮人物太保威肅王文璧曰凣論人物教皇子須止及善人惡人且置勿論恐皇子聞之或有效者,Mỗi luận cập bản triều nhân vật Thái bảo Uy Túc Vương Văn Bích viết Phàm luận nhân vật giáo Hoàng tử tu chỉ cập thiện nhân ác nhân thả trí vật luận khủng Hoàng tử văn chi hoặc hữu hiệu giả,"(7: 8), (9: 14), (15: 16), (20: 21), (34: 35)","Thái, Uy Túc Vương Văn Bích, Phàm, Hoàng, Hoàng",
上皇曰善惡當對舉不可偏廢也,Thượng hoàng viết Thiện ác đương đối cử bất khả thiên phế dã,(3: 4),Thiện,
如不賢耶何待見惡而後為如太康失德則前王逸豫而效之耶,Như bất hiền da hà đãi kiến ác nhi hậu vi như Thái Khang thất đức tắc tiền vương dật dự nhi hiệu chi da,(12: 14),Thái Khang,
隋煬帝口道堯舜而其所行反為桀紂其見善而效,Tuỳ Dương Đế khẩu đạo Nghiêu Thuấn nhi kì sở hành phản vi Kiệt Trụ kì kiến thiện nhi hiệu,"(0: 3), (5: 7), (13: 15)","Tuỳ Dương Đế, Nghiêu Thuấn, Kiệt Trụ",
威肅頓首稱善,Uy Túc đốn thủ xưng thiện,(0: 2),Uy Túc,
又一日延惠肅王入寝殿命之坐,Hựu nhất nhật diên Huệ Túc vương nhập tẩm điện mệnh chi toạ,(4: 6),Huệ Túc,
惠肅素斥佛老因言曰臣不知素食更有何利益,Huệ Túc tố xích Phật Lão nhân ngôn viết Thần bất tri tố thực cánh hữu hà lợi ích,"(0: 2), (4: 6), (9: 10)","Huệ Túc, Phật Lão, Thần",
上皇揣知其意即論曰祖考時御素𩚏故效之耳所謂利益則朕不知,Thượng hoàng suỷ tri kì ý tức luận viết Tổ khảo thời ngự tố xan cố hiệu chi nhĩ sở vị lợi ích tắc trẫm bất tri,(9: 10),Tổ,
惠肅默然而出,Huệ Túc mặc nhiên nhi xuất ,(0: 2),Huệ Túc,
封佐聖太師日燏為大王,Phong Tá Thánh Thái sư Nhật Duật vi Đại Vương ,"(0: 4), (5: 7), (8: 10)","Phong Tá Thánh Thái, Nhật Duật, Đại Vương",
冬上皇廵狩沱江道親征牛吼蠻,Đông Thượng hoàng tuần thú Đà Giang đạo thân chinh Ngưu Hống man,"(0: 2), (5: 7), (10: 12)","Đông Thượng, Đà Giang, Ngưu Hống",
命僉知阮忠彦從編脩實錄,Mệnh Thiêm tri Nguyễn Trung Ngạn tòng biên tu thực lục,"(0: 2), (3: 6)","Mệnh Thiêm, Nguyễn Trung Ngạn",
先是仁廟時牛吼與道密入朝遣回,Tiên thị Nhân Miếu thời Ngưu Hống dữ Đạo Mật nhập triều khiến hồi,"(2: 4), (5: 7), (8: 10)","Nhân Miếu, Ngưu Hống, Đạo Mật",
至是叛肆掠本江之地盡有之又謀刧懷忠家,Chí thị phản tứ lược bản giang chi địa tận hữu chi hựu mưu kiếp Hoài Trung gia,(15: 17),Hoài Trung,
陳克終諫曰沱江號瘴地又湍瀨奔駃駃音?跳躍也不,Trần Khắc Chung gián viết Đà Giang hiệu chướng địa hựu đoan lại bôn khoái vechu âm UNK khiêu dược dã bất,"(0: 3), (5: 7), (17: 18)","Trần Khắc Chung, Đà Giang, UNK",
利行師占城無瘴毒且前世帝王親征多擒其主不若釋彼而征占之為愈,lợi hành sư Chiêm Thành vô chướng độc thả tiền thế Đế vương thân chinh đa cầm kì chủ bất nhược thích bỉ nhi chinh Chiêm chi vi dũ,"(3: 5), (11: 12), (25: 26)","Chiêm Thành, Đế, Chiêm",
上皇曰朕為民父母苟生民陷於塗炭當急救之𡸈較險易利鈍哉,Thượng hoàng viết Trẫm vi dân phụ mẫu câu sinh dân hãm ư đồ than đương cấp cứu chi há giảo hiểm dịch lợi độn tai,(3: 4),Trẫm,
克終󰥭謝曰聖度包荒非臣愚所能及,Khắc Chung bái tạ viết Thánh độ bao hoang phi thần ngu sở năng cập ,"(0: 2), (5: 6)","Khắc Chung, Thánh",
𥘉上皇将征牛吼占昭人詣闕上書丁寕以舉寨降則刻符為信,Sơ Thượng hoàng tương chinh Ngưu Hống Chiêm Chiếu nhân nghệ khuyết thượng thư đinh ninh dĩ cử trại hàng tắc khắc phù vi tín,"(0: 2), (5: 9)","Sơ Thượng, Ngưu Hống Chiêm Chiếu",
上皇方圖登其寨城倣漢武登单于󰉟故事及親征分命昭義侯負螟領軍由清化道以應官軍仍論之曰占昭寨已有降約必待官軍,Thượng hoàng phương đồ đăng kì trại thành phỏng Hán Vũ đăng đơn vu đài cố sự cập thân chinh phân mệnh Chiêu Nghĩa hầu phụ Minh lĩnh quân do Thanh Hoá đạo dĩ ứng quan quân những luận chi viết Chiêm Chiếu trại dĩ hữu hàng ước tất đãi quan quân,"(9: 11), (22: 24), (26: 27), (30: 32), (41: 43)","Hán Vũ, Chiêu Nghĩa, Minh, Thanh Hoá, Chiêm Chiếu",
至無妄動上皇至忙越駐驛賜名太平府有博子泉賜名清,Chí vô vọng động Thượng hoàng chí Mường Việt trú dịch tứ danh Thái Bình phủ hữu Bác Tử tuyền tứ danh Thanh,"(4: 5), (7: 9), (13: 15), (17: 19), (22: 23)","Thượng, Mường Việt, Thái Bình, Bác Tử, Thanh",
水泉昭義侯至占昭欲邀功擊之遂敗宣威將軍武斯宏陣前力戰死之,Thuỷ tuyền Chiêu Nghĩa hầu chí Chiêm Chiếu dục yêu công kích chi toại bại Tuyên Uy tướng quân Vũ Tư Hoành trận tiền lực chiến tử chi,"(2: 4), (6: 8), (15: 17), (19: 22)","Chiêu Nghĩa, Chiêm Chiếu, Tuyên Uy, Vũ Tư Hoành",
上皇聞之曰已誤矣然是行也,Thượng hoàng văn chi viết Dĩ ngộ hĩ Nhiên thị hành dã,"(5: 6), (8: 9)","Dĩ, Nhiên",
上皇自将號令嚴明威聲遠震哀牢聞之奔潰,Thượng hoàng tự tướng hiệu lệnh nghiêm minh uy thanh viễn chấn Ai Lao văn chi bôn hội,(12: 14),Ai Lao,
及還至白鶴江江中有石堆浩流船多觸,Cập hoàn chí Bạch Hạc giang giang trung hữu thạch đồi hạo lưu thuyền đa xúc,(3: 5),Bạch Hạc,
閣聞其臣曰輔武大王上皇𡧸禱曰御舟安行則加褒賞,Các văn kì thần viết Phụ Vũ đại vương Thượng hoàng mật đảo viết Ngự chu an hành tắc gia bao thưởng,"(5: 7), (9: 10), (14: 15)","Phụ Vũ, Thượng, Ngự",
後興孝王討沱江蠻泊白鶴江夜夢神曰前年帝有褒賞之命至是無聞,Hậu Hưng Hiếu Vương thảo Đà Giang man bạc Bạch Hạc giang dạ mộng thần viết Tiền niên Đế hữu bao thưởng chi mệnh chí thị vô văn,"(0: 4), (5: 7), (9: 11), (16: 17), (18: 19)","Hậu Hưng Hiếu Vương, Đà Giang, Bạch Hạc, Tiền, Đế",
興孝王回奏上皇乃加封二字鬼神靈應信不誣矣,Hưng Hiếu Vương hồi tấu Thượng hoàng nãi gia phong nhị tự quỷ thần linh ứng tín bất vu hĩ ,"(0: 3), (5: 6)","Hưng Hiếu Vương, Thượng",
以武堯佐為入内行遣門下右司郎中堯佐洪州人與弟農上皇當宁,Dĩ Vũ Nghiêu Tá vi Nhập nội hành khiển môn hạ hữu ti lang trung Nghiêu Tá Hồng châu nhân dữ đệ Nông Thượng hoàng đương trữ,"(0: 4), (5: 6), (15: 18), (22: 24)","Dĩ Vũ Nghiêu Tá, Nhập, Nghiêu Tá Hồng, Nông Thượng",
時宁門?之間人君視朝所宁立處,thời trữ môn UNK chi gian nhân quân thị triều sở trữ lập xứ,(3: 4),UNK,
同登第並以文學稱堯佐為行遣同知内𡧸院至是授是職,đồng đăng đệ tịnh dĩ văn học xưng Nghiêu Tá vi Hành khiển đồng tri Nội mật viện Chí thị thụ thị chức,"(8: 10), (11: 12), (15: 16), (18: 19)","Nghiêu Tá, Hành, Nội, Chí",
大越史記本紀全書卷之六終,Đại Việt sử ký bản kỷ toàn thư quyển chi lục chung,(0: 2),Đại Việt,
大越史記本紀全書卷之七〇,Đại Việt sử ký bản kỷ toàn thư quyển chi thất ,(0: 2),Đại Việt,
陳紀憲宗皇帝諱旺明宗次子嫡母憲慈宣聖皇太后親生母明慈皇太妃黎氏也,Trần Kỷ Hiến Tông Hoàng Đế huý Vượng Minh Tông thứ tử đích mẫu Hiến Từ Tuyên Thánh Hoàng Thái Hậu thân sinh mẫu Minh Từ Hoàng Thái Phi Lê thị dã,"(0: 6), (7: 10), (14: 21), (24: 30)","Trần Kỷ Hiến Tông Hoàng Đế, Vượng Minh Tông, Hiến Từ Tuyên Thánh Hoàng Thái Hậu, Minh Từ Hoàng Thái Phi Lê",
在位十三年壽二十三崩塟昌安陵〇,Tại vị thập tam niên thọ nhị thập tam băng táng Xương an lăng ,(11: 12),Xương,
庚午開祐二年元至順元年夏五月以誕日為會天節〇,Canh Ngọ Khai Hựu nhị niên Nguyên Chí Thuận nguyên niên hạ ngũ nguyệt dĩ đản nhật vi Hội Thiên tiết ,"(0: 4), (6: 9), (18: 20)","Canh Ngọ Khai Hựu, Nguyên Chí Thuận, Hội Thiên",
秋七月順聖保慈皇太后崩于安生木杲庵,Thu thất nguyệt Thuận Thánh Bảo Từ Hoàng Thái Hậu băng vu Yên Sinh Mộc Cảo am,"(3: 10), (12: 16)","Thuận Thánh Bảo Từ Hoàng Thái Hậu, Yên Sinh Mộc Cảo",
太后性仁慈凣英宗子雖庶出皆愛護撫育如己子,Thái hậu tính nhân từ phàm Anh Tông tử tuy thứ xuất giai ái hộ phủ dục như kỷ tử,(6: 8),Anh Tông,
惠真公主英宗所鍾愛太后亦加愛之,Huệ Chân công chúa Anh Tông sở chung ái Thái hậu diệc gia ái chi,"(0: 2), (4: 6), (9: 10)","Huệ Chân, Anh Tông, Thái",
天真太后,Thiên Chân thái hậu,(0: 2),Thiên Chân,
或賜𧶘則先與惠真而後及天真,Hoặc tứ lãi tắc tiên dữ Huệ chân nhi hậu cập Thiên Chân,"(6: 7), (11: 13)","Huệ, Thiên Chân",
英宗崩後善視惠真盖有加焉,Anh Tông băng hậu thiện thị Huệ Chân cái hữu gia yên,"(0: 2), (6: 8)","Anh Tông, Huệ Chân",
至於遇列嬪亦甚厚如宫中㚴㜮王氏惠真所出也有寵懷娠,Chí ư ngộ liệt tần diệc thậm hậu như cung trung bố lãm Vương thị Huệ Chân sở xuất dã hữu sủng hoài thần,"(13: 14), (15: 17)","Vương, Huệ Chân",
太后以雙香堂太后正寝為坐蓐所,Thái hậu dĩ Song Hương Đường Thái Hậu chính tẩm vi toạ nhục sở,(3: 8),Song Hương Đường Thái Hậu,
宫人私言上皇曰太后殺王氏,Cung nhân tư ngôn Thượng hoàng viết Thái hậu sát Vương thị,"(4: 5), (7: 8), (10: 11)","Thượng, Thái, Vương",
上皇素知太后慈仁因大怒笞之太后亦不以關懷,Thượng hoàng tố tri Thái hậu từ nhân nhân đại nộ si chi thái hậu diệc bất dĩ quan hoài,(4: 5),Thái,
寶惠國母即保慈寀后母常請元徽即威惠女保慈姪女入宫為妃,Bảo Huệ Quốc mẫu tức Bảo Từ Thái Hậu mẫu thường thỉnh Nguyên Huy tức Uy Huệ nữ Bảo Từ điệt nữ nhập cung vi phi,"(0: 3), (5: 9), (12: 14), (15: 17), (18: 20)","Bảo Huệ Quốc, Bảo Từ Thái Hậu, Nguyên Huy, Uy Huệ, Bảo Từ",
上皇以啓太后太后曰不可元徽為妃將使淑姿稱奴耶,Thượng hoàng dĩ khải Thái hậu Thái hậu viết Bất khả Nguyên Huy vi phi tương sử Thục Tư xưng nô da,"(4: 5), (6: 7), (9: 10), (11: 13), (17: 19)","Thái, Thái, Bất, Nguyên Huy, Thục Tư",
自奉英宗梓官歸安生一齋一粥,Tự phụng Anh Tông tử quan quy Yên Sinh nhất trai nhất chúc,"(2: 4), (7: 9)","Anh Tông, Yên Sinh",
曰先帝晏駕後予不可見僧面對僧語惟齋粥苦行以報如天大德奚以衣鉢為哉住山十年而崩〇,Viết Tiên Đế yến giá hậu dư bất khả kiến tăng diện đối tăng ngữ duy trai chúc khổ hành dĩ báo như thiên đại đức hề dĩ y bát vi tai Trú sơn thập niên nhi băng ,"(0: 3), (32: 33)","Viết Tiên Đế, Trú",
佐聖太師昭文大王日燏卒,Tá Thánh Thái sư Chiêu Văn Đại vương Nhật Duật tốt,"(0: 3), (4: 7), (8: 10)","Tá Thánh Thái, Chiêu Văn Đại, Nhật Duật",
年七十七日燏好與外國人遊常騎象遊婆伽村,niên thất thập thất Nhật Duật hiếu dữ ngoại quốc nhân du thường kị tượng du Bà Già thôn,"(4: 6), (16: 18)","Nhật Duật, Bà Già",
其村廻李聖宗征占城虜獲占人居之以占語命名多加離後訛為婆伽或三四日後返又遊祥符寺與宋僧談語信宿乃回,Kì thôn hồi Lí Thánh Tông chinh Chiêm Thành lỗ hoạch Chiêm nhân cư chi dĩ Chiêm ngữ mệnh danh Đa Gia Li hậu ngoa vi Bà Già hoặc tam tứ nhật hậu phản hựu du Tường Phù tự dữ Tống tăng đàm ngữ tín túc nãi hồi,"(3: 6), (7: 9), (11: 12), (16: 17), (20: 23), (26: 28), (36: 38), (40: 41)","Lí Thánh Tông, Chiêm Thành, Chiêm, Chiêm, Đa Gia Li, Bà Già, Tường Phù, Tống",
凣外國人來京者徃徃雜至其家如宋客則對坐交床講話竟日占人雜蠻亦各以其國俗接之仁宗時󰀋馬錫國使來貢求能通語者不可得獨,Phàm ngoại quốc nhân lai kinh giả vãng vãng tạp chí kì gia như Tống khách tắc đối toạ giao sàng giảng thoại cánh nhật Chiêm nhân tạp man diệc các dĩ kì quốc tục tiếp chi Nhân Tông thời sách Mã Tích quốc sứ lai cống cầu năng thông ngữ giả bất khả đắc độc,"(14: 15), (25: 26), (37: 39), (41: 43)","Tống, Chiêm, Nhân Tông, Mã Tích",
日燏能之,Nhật Duật năng chi,(0: 2),Nhật Duật,
或問其故曰太宗時北國使至因與之遊故少通其語耳,Hoặc vấn kì cố viết Thái Tông thời Bắc quốc sứ chí nhân dữ chi du cố thiểu thông kì ngữ nhĩ,"(5: 7), (8: 9)","Thái Tông, Bắc",
仁宗嘗曰昭文叔盖蕃落人後身故善為諸國語,Nhân Tông thường viết Chiêu Văn thúc cái Phiên lạc nhân hậu thân cố thiện vi chư quốc ngữ,"(0: 2), (4: 6), (8: 9)","Nhân Tông, Chiêu Văn, Phiên",
既入相每過宋人陳道詔家對坐清談移時不倦,Kí nhập tướng mỗi quá Tống nhân Trần Đạo Chiếu gia đối toạ thanh đàm di thời bất quyện,"(5: 6), (7: 10)","Tống, Trần Đạo Chiếu",
英宗聞之曰祖父為宰相道詔雖宋人既有翰林奉㫖𡸈可對坐故事元使至必使通語者傅譯宰相不可與語慮或有失必諉之通語者,Anh Tông văn chi viết Tổ phụ vi Tể tướng Đạo Chiếu tuy Tống nhân ký hữu Hàn lâm phụng chỉ há khả đối toạ Cố sự Nguyên sứ chí tất sử thông ngữ giả phó dịch tể tướng bất khả dữ ngữ lự hoặc hữu thất tất uỷ chi thông ngữ giả,"(0: 2), (5: 6), (8: 9), (10: 12), (13: 14), (17: 18), (25: 26), (27: 28)","Anh Tông, Tổ, Tể, Đạo Chiếu, Tống, Hàn, Cố, Nguyên",
日燏則不然其接元使每與之語不假傅譯,Nhật Duật tắc bất nhiên kì tiếp Nguyên sứ mỗi dữ chi ngữ bất giả phó dịch,"(0: 2), (7: 8)","Nhật Duật, Nguyên",
使曰君乃真定人來仕此耳日燏深拒之而彼終不之,Sứ viết Quân nãi Chân Định nhân lai sĩ thử nhĩ Nhật Duật thâm cự chi nhi bỉ chung bất chi,"(2: 3), (4: 6), (11: 13)","Quân, Chân Định, Nhật Duật",
信盖其容貌言語皆似真定人,tín cái kì dung mạo ngôn ngữ giai tự Chân Định nhân,(9: 11),Chân Định,
英宗欲尊宣慈皇太后為太皇太后未知所以家尊,Anh Tông dục tôn Tuyên Từ Hoàng thái hậu vi Thái Hoàng Thái Hậu vị tri sở dĩ gia tôn,"(0: 2), (4: 7), (10: 14)","Anh Tông, Tuyên Từ Hoàng, Thái Hoàng Thái Hậu",
欽慈皇太后以問即以太皇太后封,Khâm Từ Hoàng thái hậu dĩ vấn tức dĩ Thái hoàng Thái hậu phong,"(0: 3), (9: 10), (11: 12)","Khâm Từ Hoàng, Thái, Thái",
英宗有武帽二乃廵師及講武所御也而名號未稱,Anh Tông hữu võ mão nhị nãi tuần sư cập giảng võ sở ngự dã nhi danh hiệu vị xưng,(0: 2),Anh Tông,
方征占城将御以行使日燏命名即名其一曰武威一曰武德,Phương chinh Chiêm Thành tương ngự dĩ hành sử Nhật Duật mệnh danh tức danh kì nhất viết Vũ Uy nhất viết Vũ Đức,"(2: 4), (9: 11), (18: 20), (22: 24)","Chiêm Thành, Nhật Duật, Vũ Uy, Vũ Đức",
至於東宫一撮齋資善堂之名皇太子學曰資善堂宫太子學曰撮齋亦皆所命音樂節奏𰙔舞曲調亦皆日燏所作,Chí ư Đông Cung nhất Toát Trai Tư Thiện đường chi danh Hoàng thái tử học viết Tư Thiện Đường Đông cung thái tử học viết Toát trai diệc giai sở mệnh âm nhạc tiết tấu ca vũ khúc điều diệc giai Nhật Duật sở tác,"(2: 4), (5: 9), (12: 13), (17: 21), (26: 27), (42: 44)","Đông Cung, Toát Trai Tư Thiện, Hoàng, Tư Thiện Đường Đông, Toát, Nhật Duật",
紹保末守宣光收物寨,Thiệu Bảo mạt thủ Tuyên Quang Thu Vật trại,"(0: 2), (4: 8)","Thiệu Bảo, Tuyên Quang Thu Vật",
胡虜𥘉臨境昭國奏昭文在宣光應在上呼胡虜矣,Hồ lỗ sơ lâm cảnh Chiêu Quốc tấu Chiêu Văn tại Tuyên Quang ứng tại thượng hô hồ lỗ hĩ,"(5: 7), (8: 10), (11: 13)","Chiêu Quốc, Chiêu Văn, Tuyên Quang",
日燏喜宋人遊故昭國云然宣光失守,Nhật Duật hỉ Tống nhân du cố Chiêu Quốc vân nhiên Tuyên Quang thất thủ,"(0: 2), (3: 4), (7: 9), (11: 13)","Nhật Duật, Tống, Chiêu Quốc, Tuyên Quang",
日燏沿流,Nhật Duật duyên lưu,(0: 2),Nhật Duật,
日燏顧虜軍徐行謁士眾曰凣追則要速今徐徐然行恐有前軍把截亟,Nhật Duật cố lỗ quân từ hành yết sĩ chúng viết Phàm truy tắc yếu tốc kim từ từ nhiên hành khủng hữu tiền quân bả tiệt cực,"(0: 2), (11: 12)","Nhật Duật, Phàm",
其為為人雅量喜怒不形於色家未嘗鞭以以笞奴隷或笞之則數其過失然後行笞嘗命家僮守舟國父家僮敺之其人馳吿,Kì vi vi nhân nhã lượng hỉ nộ bất hình ư sắc gia vị thường tiên vechu dĩ si nô lệ hoặc si chi tắc số kì quá thất nhiên hậu hành si Thường mệnh gia đồng thủ chu Quốc phụ gia đồng khu chi kì nhân trì cáo,"(33: 34), (39: 40)","Thường, Quốc",
日燏曰死亡耶曰但敺傷耳,Nhật Duật viết Tử vong da Viết Đản khu thương nhĩ,"(0: 2), (3: 4), (6: 8)","Nhật Duật, Tử, Viết Đản",
曰不死則已奚吿為,Viết Bất tử tắc dĩ hề cáo vi,(0: 2),Viết Bất,
又有人訟家婢於國父,Hựu hữu nhân tụng gia tì ư Quốc phụ,(7: 8),Quốc,
夫人泣曰恩主宰相也,Phu nhân khấp viết Ân chúa tể tướng dã,(4: 5),Ân,
平章亦宰相也,Bình Chương diệc Tể tướng dã,"(0: 2), (3: 4)","Bình Chương, Tể",
日燏從容不應徐令人謂婢曰汝第出處處都有國法,Nhật Duật thong dong bất ứng từ lệnh nhân vị tì viết Nhữ đệ xuất xứ xứ đô hữu quốc pháp,"(0: 2), (12: 13)","Nhật Duật, Nhữ",
又涉獵史籍篤慕玄教通於冲典冲深也飛也虚也老子太盈若虚虚作冲時以該博稱上皇方幼孺在閣有疾常命行安鎮符法,Hựu thiệp liệp sử tịch đốc mộ Huyền giáo thông ư xung điển xung thâm dã phi dã hư dã lão tử thái doanh nhược hư hư tác xung Thời dĩ cai bác xưng Thượng hoàng phương ấu nhụ tại các hữu tật thường mệnh hành an trấn phù pháp,"(7: 8), (29: 30), (34: 35)","Huyền, Thời, Thượng",
小君貞肃夫人嘗有私請日燏頷之及出府庭記室以其事呈日燏不之許,Tiểu quân Trinh Túc phu nhân thường hữu tư thỉnh Nhật Duật hạm chi cập xuất phủ đình ký thất dĩ kì sự trình Nhật Duật bất chi hứa,"(2: 4), (10: 12), (24: 26)","Trinh Túc, Nhật Duật, Nhật Duật",
較之郭子儀窮奢極欲而人不之非者殆庶幾焉,Giảo chi Quách Tử Nghi cùng xa cực dục nhi nhân bất chi phi giả đãi thứ kỷ yên,(2: 5),Quách Tử Nghi,
貞肅清化人也故日燏家妾,Trinh Túc Thanh Hoá nhân dã cố Nhật Duật gia thiếp,"(0: 4), (7: 9)","Trinh Túc Thanh Hoá, Nhật Duật",
皆清化人而其子皆清化女所出,giai Thanh Hoá nhân nhi kì tử giai Thanh Hoá nữ sở xuất,"(1: 3), (8: 10)","Thanh Hoá, Thanh Hoá",
厥後除清化知府每以日燏子孫爲之如國康之於演州是也〇,Quyết hậu trừ Thanh Hoá tri phủ mỗi dĩ Nhật Duật tử tôn vi chi như Quốc Khang chi ư Diễn Châu thị dã ,"(3: 5), (9: 11), (16: 18), (20: 22)","Thanh Hoá, Nhật Duật, Quốc Khang, Diễn Châu",
陳克終卒,Trần Khắc Chung tốt,(0: 3),Trần Khắc Chung,
贈少師,Tặng Thiếu sư,(0: 2),Tặng Thiếu,
克終為人矯情干譽不事家業,Khắc Chung vi nhân kiểu tình can dự bất sự gia nghiệp,(0: 2),Khắc Chung,
每日晨入朝則於永昌門尚輦局次歇審觀奏簿以僃陳奏,Mỗi nhật thần nhập triều tắc ư Vĩnh Xương môn Thượng Liễn cục thứ yết thẩm quan tấu bạ dĩ bị trần tấu,"(7: 9), (10: 12)","Vĩnh Xương, Thượng Liễn",
朝退則就東宫明宗時在東宫教授皆強矯爲之,Triều thoái tắc tựu Đông cung Minh Tông thời tại Đông cung giáo thụ giai cường kiểu vi chi,"(4: 5), (6: 8), (10: 11)","Đông, Minh Tông, Đông",
常與學士阮士固博戲或二三日夜以斷晝只據枰啜粥不假少息,Thường dữ Học sĩ Nguyễn Sĩ Cố bác hí hoặc nhị tam nhật dạ dĩ đoạn trú chỉ cứ bính xuyết chúc bất giả thiếu tức,"(2: 3), (4: 7)","Học, Nguyễn Sĩ Cố",
一日謂其子公綽曰汝娶其家女何不見告𥘉娶寳環,Nhất nhật vị kì tử Công Xước viết Nhữ thú kì gia nữ hà bất kiến cáo Sơ thú Bảo Hoàn,"(5: 7), (8: 9), (17: 18), (19: 21)","Công Xước, Nhữ, Sơ, Bảo Hoàn",
重興間元人入冦寳環父母降虜田産並没官,Trùng Hưng gian Nguyên nhân nhập khấu Bảo Hoàn phụ mẫu hàng lỗ điền sản tịnh một quan,"(0: 2), (3: 4), (7: 9)","Trùng Hưng, Nguyên, Bảo Hoàn",
及帝即位詔還之不以供時祀,Cập Đế tức vị chiếu hoàn chi bất dĩ cúng thời tự,(0: 2),Cập Đế,
歸塟𰎟山紹武家奴斬碎其尸,Quy táng giáp Sơn Thiệu Võ gia nô trảm toái kì thi,(3: 6),Sơn Thiệu Võ,
辛未三年元至順二年元遣史部尚書撒只瓦來吿文宗即位〇,Tân Mùi tam niên Nguyên Chí Thuận nhị niên Nguyên khiến Sử bộ Thượng thư Tản Chỉ Ngoã lai cáo Văn Tông tức vị ,"(0: 2), (4: 7), (9: 10), (11: 12), (13: 14), (15: 18), (20: 22)","Tân Mùi, Nguyên Chí Thuận, Nguyên, Sử, Thượng, Tản Chỉ Ngoã, Văn Tông",
遣使如元賀〇,Khiến sứ như Nguyên hạ ,(3: 4),Nguyên,
